0	[-0.26370304822921753, 0.3352394700050354, 0.22693780064582825, -0.06345614790916443, 0.004638592712581158, 0.07317085564136505, 0.10602351278066635, -0.3714013695716858, 0.22924266755580902, 0.011767081916332245, -0.046867817640304565, 0.19637781381607056, 0.0678255707025528, -0.05432457849383354, -0.256239652633667, -0.30603498220443726, 0.19383367896080017, -0.029398266226053238, 0.17957201600074768, -0.1305883675813675, -0.22354909777641296, -0.04254820570349693, 0.36483895778656006, -0.12089091539382935, 0.2661905884742737, 0.12957246601581573, -0.4520637094974518, -0.25554680824279785, 0.11615648120641708, -0.3747493028640747, -0.26412853598594666, -0.11213013529777527, 0.2569783627986908, 0.03525260463356972, -0.48193034529685974, -0.19970032572746277, -0.1475803703069687, -0.41974717378616333, 0.15266744792461395, 0.2545677423477173, -0.17982903122901917, -0.36780959367752075, 0.21244744956493378, 0.01270269975066185, 0.3668118417263031, 0.17533667385578156, -0.2465011328458786, -0.19177082180976868, -0.00902942568063736, 0.006140444427728653]
1	[0.004409552551805973, -0.17517611384391785, 0.028814487159252167, 0.27951642870903015, 0.08994708210229874, -0.07569434493780136, -0.020147666335105896, -0.014940699562430382, 0.002488976577296853, 0.17541775107383728, 0.41299182176589966, -0.2298145741224289, -0.006928885355591774, -0.1169864609837532, -0.07786522060632706, -0.12397117912769318, -0.032136909663677216, 0.08564548194408417, 0.0345943346619606, -0.3648354411125183, -0.25865694880485535, -0.02065824531018734, 0.25835639238357544, 0.05742935836315155, -0.06103065237402916, 0.16707684099674225, -0.1928909868001938, 0.10492602735757828, 0.046044763177633286, -0.052533283829689026, 0.00784735195338726, 0.0038942783139646053, -0.1084028109908104, 0.351620078086853, -0.3121805489063263, -0.07209658622741699, -0.10524929314851761, 0.14074496924877167, 0.061694078147411346, -0.051354244351387024, -0.2697807252407074, -0.25684311985969543, -0.18536381423473358, -0.009454691782593727, -0.217514306306839, -0.08380988240242004, 0.17461420595645905, -0.28510400652885437, 0.010905014351010323, -0.0515303760766983]
2	[-0.11146295070648193, 0.18373802304267883, 0.02881060354411602, 0.06122394651174545, -0.02370506152510643, 0.1589394360780716, -0.20269422233104706, 0.044678717851638794, -0.08575458079576492, -0.017012646421790123, 0.003501547733321786, -0.08843367546796799, -0.061408426612615585, 0.05107303336262703, 0.2144404649734497, -0.017660075798630714, 0.06348956376314163, -0.006345858331769705, -0.24294939637184143, -0.05438494682312012, -6.822996510891244e-05, -0.258541464805603, 0.1267988532781601, 0.0374777652323246, -0.09120674431324005, 0.03850094974040985, 0.0577814094722271, -0.03358418121933937, 0.06431150436401367, 0.271557092666626, -0.0038275024853646755, -0.06966972351074219, 0.020191950723528862, -0.0845121368765831, 0.03388597443699837, 0.08982855081558228, 0.13003160059452057, 0.07587666809558868, -0.036540549248456955, -0.21559342741966248, 0.0815679132938385, -0.022889835759997368, -0.18535920977592468, 0.10189364850521088, -0.1500634253025055, -0.2111140489578247, 0.12593741714954376, -0.009815159253776073, 0.09048174321651459, -0.2442614883184433]
3	[0.18258437514305115, 0.1600705236196518, 0.29325518012046814, 0.14145414531230927, 0.0026581494603306055, 0.07317472249269485, 0.06291330605745316, -0.2974865436553955, 0.22930827736854553, 0.011761576868593693, 0.2470327615737915, 0.36513635516166687, 0.09633562713861465, -0.05431714653968811, -0.2562541961669922, -0.2047738879919052, 0.19387024641036987, 0.09646295756101608, 0.20663167536258698, -0.3057595491409302, 0.05538817122578621, -0.0927492305636406, 0.3225249648094177, -0.1703764796257019, 0.2661963403224945, -0.22041423618793488, -0.37661293148994446, -0.19289372861385345, 0.13592442870140076, -0.30848249793052673, -0.15156494081020355, -0.1281898319721222, 0.21815374493598938, 0.37389594316482544, -0.48193132877349854, -0.03777921572327614, -0.14759233593940735, -0.07042064517736435, 0.15268951654434204, 0.25456321239471436, -0.05931314826011658, -0.44290944933891296, 0.11673779785633087, 0.013377959839999676, 0.4049447774887085, 0.1753477305173874, -0.22178630530834198, -0.14407037198543549, -0.08081821352243423, 0.019410613924264908]
4	[-0.25871625542640686, 0.06427093595266342, -0.21890924870967865, 0.1632138341665268, 0.19275812804698944, -0.17330943048000336, -0.16539789736270905, -0.22910001873970032, 0.25433242321014404, 0.31358450651168823, 0.22610458731651306, -0.2393278330564499, 0.24436718225479126, 0.029635624960064888, 0.16203899681568146, -0.2854215204715729, 0.29900386929512024, 0.054360613226890564, -0.06528515368700027, -0.2115282118320465, -0.3282180428504944, -0.16139590740203857, 0.024198517203330994, -0.2409130483865738, 0.01940123923122883, -0.046133853495121, -0.0777725949883461, 0.17718729376792908, 0.21071405708789825, 0.04667090252041817, 0.2232646346092224, 0.15240319073200226, -0.06857209652662277, -0.010270574130117893, -0.05653173848986626, 0.25717389583587646, 0.10305295884609222, -0.1649370789527893, 0.22494052350521088, 0.0797000527381897, -0.2170233428478241, -0.042100198566913605, -0.05570218339562416, 0.22889888286590576, 0.010945182293653488, 0.18913210928440094, -0.1667710840702057, -0.15419669449329376, 0.26176267862319946, -0.1765098124742508]
5	[0.02262701839208603, 0.0642746165394783, -0.21888671815395355, 0.10823169350624084, 0.0919279083609581, 0.18801669776439667, -0.013655207119882107, -0.15519991517066956, -0.10841350257396698, 0.07605769485235214, 0.0948423370718956, -0.09391020238399506, 0.21918512880802155, -0.10342990607023239, 0.02986285276710987, -0.09987962990999222, -0.11274202167987823, 0.1463613510131836, -0.043730903416872025, -0.019171252846717834, -0.30625057220458984, 0.08689869940280914, -0.08818402141332626, -0.10776400566101074, 0.019397182390093803, 0.17475877702236176, -0.058729007840156555, 0.11454284936189651, 0.10870753973722458, 0.046645473688840866, -0.10346953570842743, 0.08764639496803284, -0.10738532245159149, -0.0675305426120758, -0.05270421504974365, -0.060999464243650436, 0.11812593787908554, -0.07070868462324142, 0.034294214099645615, -0.025051267817616463, -0.0767885148525238, 0.04162289574742317, -0.013528299517929554, 0.10502570122480392, -0.0271932203322649, -0.075339175760746, -0.036589134484529495, -0.09330029040575027, 0.01065857708454132, -0.16316388547420502]
6	[0.31425946950912476, 0.1758606880903244, 0.29323938488960266, -0.03718392923474312, 0.00390701973810792, 0.07318105548620224, 0.10603424161672592, -0.35136711597442627, -0.1334899663925171, 0.011753339320421219, 0.24704186618328094, 0.19638927280902863, 0.09551235288381577, -0.05433516576886177, -0.2693978250026703, -0.30601805448532104, 0.19384066760540009, 0.09780939668416977, 0.179569274187088, -0.13057835400104523, -0.20262682437896729, 0.20148977637290955, 0.1701459288597107, -0.05887792631983757, 0.2661866843700409, -0.09181299805641174, -0.4314576983451843, 0.042904194444417953, 0.053487807512283325, -0.3242846131324768, -0.1528242975473404, -0.11213662475347519, 0.1793404370546341, 0.41380739212036133, -0.4781997501850128, -0.19977737963199615, -0.14755693078041077, -0.20829594135284424, 0.15266594290733337, 0.3030489981174469, -0.11594843119382858, -0.3677973747253418, -0.08174677938222885, -0.11046764999628067, 0.32867497205734253, 0.17531420290470123, -0.027629537507891655, -0.19175076484680176, -0.11377312242984772, 0.03275584802031517]
7	[-0.24449516832828522, 0.1556384414434433, -0.4190996289253235, -0.08874120563268661, -0.06786086410284042, -0.13650980591773987, 0.15600667893886566, -0.13206492364406586, -0.024655932560563087, -0.19446821510791779, -0.10899049043655396, -0.20166680216789246, 0.3657757043838501, -0.22942568361759186, 0.3001742362976074, -0.2452489286661148, -0.0054424530826509, 0.007175513077527285, 0.06525836884975433, 0.204087033867836, 0.047690484672784805, -0.07844734936952591, -0.3497295081615448, 0.21794237196445465, -0.30385681986808777, 0.31308597326278687, -0.2855565845966339, 0.3479126989841461, 0.3959503471851349, -0.21803440153598785, -0.23967988789081573, 0.35058361291885376, -0.03244386613368988, 0.10257977992296219, 0.19974404573440552, 0.3020544946193695, -0.2544592320919037, -0.08603031188249588, -0.1195521354675293, -0.3158847391605377, -0.1877956986427307, 0.09274914115667343, -0.227437362074852, -0.054728344082832336, 0.2641802728176117, -0.18202796578407288, 0.27934879064559937, 0.17869633436203003, -0.3040108382701874, 0.043543241918087006]
8	[-0.21691083908081055, 0.12972711026668549, -0.09503965079784393, -0.0403023362159729, -0.18298698961734772, 0.11758642643690109, -0.3114003539085388, 0.160475954413414, -0.06357017904520035, 0.11534261703491211, -0.05003274604678154, 0.09450968354940414, -0.2003370076417923, 0.20555727183818817, 0.21446330845355988, -0.056824807077646255, -0.08754874020814896, -0.15711602568626404, 0.025686174631118774, -0.05376309156417847, -6.123551429482177e-05, -0.05053763836622238, 0.07200927287340164, 0.17819777131080627, -0.17125773429870605, 0.12710630893707275, 0.02532050386071205, -0.18170908093452454, -0.06795129925012589, 0.20489367842674255, 0.09026922285556793, -0.148271843791008, -0.004934756085276604, -0.10149303823709488, -0.053130343556404114, -0.027293475344777107, 0.14195699989795685, 0.2224297821521759, -0.13522525131702423, -0.0843646228313446, -0.04068847745656967, -0.11231085658073425, -0.021015411242842674, -0.11954519152641296, -0.08871491998434067, 0.00264898338355124, 0.20998777449131012, -0.04967225715517998, 0.09569750726222992, -0.19722941517829895]
9	[-0.16217562556266785, -0.2348475605249405, -0.3000018298625946, -0.024898119270801544, 0.304223895072937, 0.18803437054157257, -0.21784541010856628, -0.17464418709278107, 0.1603509932756424, 0.15492281317710876, -0.29488569498062134, -0.277336448431015, 0.20728278160095215, -0.281692773103714, 0.12396667152643204, -0.22777514159679413, -0.26632505655288696, 0.2224247008562088, 0.22974181175231934, 0.09746349602937698, 0.10554913431406021, -0.005749925505369902, -0.11582028120756149, -0.11519899219274521, 0.12276257574558258, -0.2269115000963211, 0.026669098064303398, -0.21837951242923737, -0.25340116024017334, 0.1808248609304428, 0.003412026446312666, 0.41172319650650024, 0.13484099507331848, 0.1512710452079773, -0.2347554713487625, 0.10559211671352386, -0.13629645109176636, -0.3216404616832733, -0.06490197777748108, -0.21644368767738342, 0.14087621867656708, 0.19623801112174988, -0.13510099053382874, 0.34596866369247437, 0.18780949711799622, 0.09766058623790741, -0.08117000758647919, 0.10272704809904099, -0.3334088921546936, 0.3201487958431244]
