0	[0.1947827786207199, -0.008358965627849102, 0.18398213386535645, -0.11408904194831848, -0.3704582750797272, 0.34277284145355225, 0.00041537234210409224, -0.11390024423599243, 0.2293200045824051, 0.283729612827301, -0.12072975188493729, -0.22631488740444183, 0.12335402518510818, -0.16106495261192322, -0.2657550275325775, -0.00724621769040823, -0.051159195601940155, 0.11928921937942505, 0.13198868930339813, 0.47268393635749817, -0.02914755791425705, 0.1774035096168518, 0.2714320123195648, -0.0910654291510582, -0.3490913510322571, -0.08748222142457962, -0.041205454617738724, 0.23303891718387604, 0.20375558733940125, -0.1459731012582779, -0.08036673069000244, -0.09123291075229645, 0.15843375027179718, -0.34067121148109436, -0.20453986525535583, 0.20218253135681152, 0.04127499461174011, 0.1354161947965622, 0.00193180947098881, -0.1489543318748474, -0.06028686836361885, 0.08071675896644592, -0.012491189874708652, -0.0595833919942379, -0.07091846317052841, -0.16258986294269562, 0.0861266553401947, 0.1621675044298172, -0.07502496242523193, -0.013467976823449135]
1	[-0.24129754304885864, 0.46344098448753357, -0.004370119422674179, 0.06498134881258011, -0.2762984335422516, 0.04539047181606293, 0.09580910950899124, 0.16540221869945526, 0.125394806265831, 0.13109733164310455, 0.2514644265174866, 0.3422233462333679, 0.11270952969789505, 0.22001130878925323, -0.33940601348876953, 0.15784180164337158, -0.030119387432932854, 0.015812363475561142, -0.0377022810280323, -0.03095577470958233, 0.1525711715221405, 0.2942800521850586, -0.2951417565345764, -0.1191307008266449, -0.03975613787770271, -0.12077997624874115, 0.3475831151008606, 0.1710529625415802, 0.023079290986061096, 0.08960933238267899, -0.14260616898536682, 0.14365479350090027, -0.06393450498580933, -0.30570971965789795, 0.15709252655506134, -0.002481971401721239, -0.2773289084434509, 0.22428010404109955, -0.25187352299690247, -0.05467790737748146, 0.09436488896608353, 0.0931406319141388, 0.0049701412208378315, -0.050817254930734634, -0.24571877717971802, -0.10149560868740082, 0.18161526322364807, 0.31674250960350037, -0.04797607287764549, 0.3077886700630188]
2	[-0.13748383522033691, -0.13405531644821167, 0.08330918103456497, 0.0585489422082901, -0.1316419392824173, -0.020899564027786255, 0.09923645853996277, -0.14287903904914856, 0.012349335476756096, -0.21492351591587067, -0.16076499223709106, 3.536109215929173e-05, -0.12175438553094864, 0.10278449207544327, -0.05608900263905525, -0.2747456431388855, 0.12773972749710083, 0.13238780200481415, -0.05376065894961357, 0.2610325217247009, 0.09322318434715271, -0.20754779875278473, 0.23004044592380524, -0.4024389386177063, -0.0972382128238678, 0.2540614902973175, -0.16525301337242126, 0.036225128918886185, 0.18374846875667572, -0.04874949902296066, 0.08441649377346039, -0.3631783127784729, -0.004606623202562332, 0.1237158253788948, 0.09338841587305069, -0.07755276560783386, 0.030996372923254967, -0.2624872922897339, 0.13439862430095673, 0.21064889430999756, 0.07566318660974503, -0.1479736864566803, 0.10038217902183533, 0.1439061164855957, -0.1905202716588974, 0.1305304616689682, -0.06456724554300308, -0.051249098032712936, 0.08840451389551163, -0.0068782661110162735]
3	[-0.07741796970367432, 0.22983349859714508, 0.11675009876489639, 0.0673859491944313, -0.06665182113647461, 0.20754149556159973, -0.13562439382076263, 0.10905975103378296, -0.01950380578637123, -0.18116676807403564, -0.028406299650669098, 0.16448767483234406, -0.002356403972953558, 0.036068759858608246, 0.026799893006682396, 0.0595988892018795, -0.14936809241771698, 0.29489681124687195, 0.18132314085960388, -0.026089781895279884, 0.2988933324813843, 0.23059824109077454, 0.16049429774284363, -0.005279483739286661, 0.03604474291205406, 0.1281891018152237, 0.3563518822193146, -0.10796549171209335, 0.043866612017154694, 0.4003235101699829, -0.03486727923154831, -0.13778036832809448, 0.20125381648540497, 0.19707724452018738, -0.0650177076458931, -0.058861684054136276, -0.10961198061704636, -0.04985766112804413, 0.029582660645246506, 0.08512004464864731, -0.35980498790740967, -0.2295709103345871, -0.22022178769111633, 0.14241060614585876, 0.1570664495229721, -0.1898123174905777, -0.3059645891189575, 0.0533120334148407, -0.16366709768772125, -0.2500358819961548]
4	[-0.10288732498884201, 0.21540123224258423, -0.14988970756530762, 0.11542776226997375, -0.29267629981040955, 0.01674608327448368, -0.07352718710899353, 0.24426256120204926, -0.10115578770637512, 0.05814749002456665, 0.34288230538368225, 0.34541380405426025, 0.1639222800731659, -0.017423689365386963, -0.02864629402756691, 0.16441725194454193, 0.1435239166021347, 0.2061367928981781, 0.36398428678512573, -0.03380514681339264, 0.42294901609420776, 0.2823163866996765, -0.154363751411438, 0.032195206731557846, -0.23805251717567444, -0.20923690497875214, -0.07386291027069092, -0.1930803507566452, -0.3144809603691101, 0.09850600361824036, 0.3121606111526489, 0.11712577193975449, -0.02134033292531967, -0.11756959557533264, 0.1858929842710495, -0.03290404751896858, 0.2577775716781616, -0.30952149629592896, -0.1520097851753235, -0.2834964990615845, -0.07335290312767029, 0.13585712015628815, -0.34304237365722656, -0.002422427060082555, -0.026166431605815887, 0.004490112420171499, -0.10166068375110626, 0.3587195575237274, 0.14015337824821472, 0.03261221945285797]
5	[-0.09587902575731277, 0.3120688796043396, -0.03446711599826813, -0.18882542848587036, -0.2716772258281708, 0.11725326627492905, 0.09579979628324509, 0.2442653626203537, 0.164053276181221, -0.022910190746188164, 0.13261519372463226, 0.1542663276195526, 0.1877361685037613, 0.21598416566848755, -0.17779120802879333, 0.22466889023780823, 0.04133013263344765, 0.09221595525741577, 0.05363655462861061, 0.1475830227136612, 0.12503118813037872, 0.19976265728473663, -0.054147206246852875, -0.11913416534662247, 0.1668267697095871, -0.08060142397880554, 0.23195286095142365, 0.07486575096845627, -0.050827257335186005, 0.16860324144363403, -0.14378944039344788, -0.2591613829135895, 0.28297939896583557, 0.12251003831624985, 0.030819347128272057, -0.005359097849577665, -0.3430234491825104, 0.176389679312706, -0.15200814604759216, -0.06037812680006027, -0.18538613617420197, 0.01897411420941353, -0.1283220499753952, 0.03541392460465431, -0.16855007410049438, -0.3164966106414795, -0.14981067180633545, 0.22298270463943481, -0.060698773711919785, 0.16127212345600128]
6	[0.29139822721481323, -0.12607775628566742, 0.1689271181821823, -0.07091023027896881, -0.4154941141605377, 0.06854769587516785, 0.16221240162849426, 0.11906863003969193, 0.2577711045742035, 0.22604058682918549, 0.06102454289793968, 0.3389029800891876, -0.18465787172317505, -0.17114365100860596, 0.2164521962404251, 0.3722114861011505, 0.33880847692489624, 0.20685537159442902, -0.03129097446799278, 0.2939819097518921, -0.1136980876326561, -0.23110473155975342, -0.3141208589076996, -0.029999034479260445, 0.10934390127658844, 0.03596695885062218, 0.06418997794389725, -0.25185680389404297, 0.13861161470413208, -0.011347392573952675, 0.08687257021665573, 0.2830035090446472, 0.6065142750740051, -0.33239173889160156, 0.2665892243385315, -0.2417439967393875, -0.16797678172588348, -0.19426384568214417, 0.04042789712548256, 0.21062253415584564, 0.011293423362076283, 0.33095887303352356, 0.09383613616228104, -0.09440052509307861, 0.05420771613717079, -0.4715471863746643, 0.2894853353500366, -0.16556714475154877, 0.19988620281219482, 0.1249513104557991]
7	[-0.24129754304885864, 0.46344098448753357, -0.004370119422674179, 0.06498134881258011, -0.2762984335422516, 0.04539047181606293, 0.09580910950899124, 0.16540221869945526, 0.125394806265831, 0.13109733164310455, 0.2514644265174866, 0.3422233462333679, 0.11270952969789505, 0.22001130878925323, -0.33940601348876953, 0.15784180164337158, -0.030119387432932854, 0.015812363475561142, -0.0377022810280323, -0.03095577470958233, 0.1525711715221405, 0.2942800521850586, -0.2951417565345764, -0.1191307008266449, -0.03975613787770271, -0.12077997624874115, 0.3475831151008606, 0.1710529625415802, 0.023079290986061096, 0.08960933238267899, -0.14260616898536682, 0.14365479350090027, -0.06393450498580933, -0.30570971965789795, 0.15709252655506134, -0.002481971401721239, -0.2773289084434509, 0.22428010404109955, -0.25187352299690247, -0.05467790737748146, 0.09436488896608353, 0.0931406319141388, 0.0049701412208378315, -0.050817254930734634, -0.24571877717971802, -0.10149560868740082, 0.18161526322364807, 0.31674250960350037, -0.04797607287764549, 0.3077886700630188]
8	[-0.09587902575731277, 0.3120688796043396, -0.03446711599826813, -0.18882542848587036, -0.2716772258281708, 0.11725326627492905, 0.09579979628324509, 0.2442653626203537, 0.164053276181221, -0.022910190746188164, 0.13261519372463226, 0.1542663276195526, 0.1877361685037613, 0.21598416566848755, -0.17779120802879333, 0.22466889023780823, 0.04133013263344765, 0.09221595525741577, 0.05363655462861061, 0.1475830227136612, 0.12503118813037872, 0.19976265728473663, -0.054147206246852875, -0.11913416534662247, 0.1668267697095871, -0.08060142397880554, 0.23195286095142365, 0.07486575096845627, -0.050827257335186005, 0.16860324144363403, -0.14378944039344788, -0.2591613829135895, 0.28297939896583557, 0.12251003831624985, 0.030819347128272057, -0.005359097849577665, -0.3430234491825104, 0.176389679312706, -0.15200814604759216, -0.06037812680006027, -0.18538613617420197, 0.01897411420941353, -0.1283220499753952, 0.03541392460465431, -0.16855007410049438, -0.3164966106414795, -0.14981067180633545, 0.22298270463943481, -0.060698773711919785, 0.16127212345600128]
9	[-0.09587902575731277, 0.3120688796043396, -0.03446711599826813, -0.18882542848587036, -0.2716772258281708, 0.11725326627492905, 0.09579979628324509, 0.2442653626203537, 0.164053276181221, -0.022910190746188164, 0.13261519372463226, 0.1542663276195526, 0.1877361685037613, 0.21598416566848755, -0.17779120802879333, 0.22466889023780823, 0.04133013263344765, 0.09221595525741577, 0.05363655462861061, 0.1475830227136612, 0.12503118813037872, 0.19976265728473663, -0.054147206246852875, -0.11913416534662247, 0.1668267697095871, -0.08060142397880554, 0.23195286095142365, 0.07486575096845627, -0.050827257335186005, 0.16860324144363403, -0.14378944039344788, -0.2591613829135895, 0.28297939896583557, 0.12251003831624985, 0.030819347128272057, -0.005359097849577665, -0.3430234491825104, 0.176389679312706, -0.15200814604759216, -0.06037812680006027, -0.18538613617420197, 0.01897411420941353, -0.1283220499753952, 0.03541392460465431, -0.16855007410049438, -0.3164966106414795, -0.14981067180633545, 0.22298270463943481, -0.060698773711919785, 0.16127212345600128]
