company:pbs	acquired	televisionstation:wha
televisionstation:kbtc_tv	agent_belongs_to_organization	company:pbs
televisionstation:ketg	agent_belongs_to_organization	company:pbs
televisionstation:kocv_tv	agent_belongs_to_organization	company:pbs
televisionstation:kuat_tv	agent_belongs_to_organization	company:pbs
televisionstation:weiq_tv	agent_belongs_to_organization	company:pbs
televisionstation:wcet	agent_belongs_to_organization	company:pbs
televisionstation:wunp_tv	agent_belongs_to_organization	company:pbs
televisionstation:kbme_tv	agent_belongs_to_organization	company:pbs
televisionstation:whro_tv	agent_belongs_to_organization	company:pbs
televisionstation:kuid_tv	agent_belongs_to_organization	company:pbs
televisionstation:krne_tv	agent_belongs_to_organization	company:pbs
televisionstation:ktne_tv	agent_belongs_to_organization	company:pbs
televisionstation:kdck	agent_belongs_to_organization	company:pbs
televisionstation:wpto	agent_belongs_to_organization	company:pbs
televisionstation:wvut	agent_belongs_to_organization	company:pbs
televisionstation:wgte_tv	agent_belongs_to_organization	company:pbs
televisionstation:wjeb_tv	agent_belongs_to_organization	company:pbs
televisionstation:kbdi_tv	agent_belongs_to_organization	company:pbs
televisionstation:krma_tv	agent_belongs_to_organization	company:pbs
televisionstation:wmsy_tv	agent_belongs_to_organization	company:pbs
televisionstation:wwpb	agent_belongs_to_organization	company:pbs
televisionstation:wsiu_tv	agent_belongs_to_organization	company:pbs
televisionstation:kyve_tv	agent_belongs_to_organization	company:pbs
televisionstation:kcka	agent_belongs_to_organization	company:pbs
televisionstation:kbyu_tv	agent_belongs_to_organization	company:pbs
televisionstation:kood	agent_belongs_to_organization	company:pbs
televisionstation:kmne_tv	agent_belongs_to_organization	company:pbs
televisionstation:kdsd_tv	agent_belongs_to_organization	company:pbs
televisionstation:wenh	agent_belongs_to_organization	company:pbs
televisionstation:wkle	agent_belongs_to_organization	company:pbs
televisionstation:wpsx_tv	agent_belongs_to_organization	company:pbs
televisionstation:wmeb_tv	agent_belongs_to_organization	company:pbs
televisionstation:kbhe_tv	agent_belongs_to_organization	company:pbs
televisionstation:wund_tv	agent_belongs_to_organization	company:pbs
televisionstation:krcb	agent_belongs_to_organization	company:pbs
televisionstation:kisu_tv	agent_belongs_to_organization	company:pbs
televisionstation:kawb	agent_belongs_to_organization	company:pbs
televisionstation:wkma	agent_belongs_to_organization	company:pbs
televisionstation:wnpb_tv	agent_belongs_to_organization	company:pbs
televisionstation:klru	agent_belongs_to_organization	company:pbs
televisionstation:kdin_tv	agent_belongs_to_organization	company:pbs
televisionstation:wvpy	agent_belongs_to_organization	company:pbs
televisionstation:wpbt	agent_belongs_to_organization	company:pbs
televisionstation:ketc	agent_belongs_to_organization	company:pbs
televisionstation:wgby_tv	agent_belongs_to_organization	company:pbs
televisionstation:wdse_tv	agent_belongs_to_organization	company:pbs
televisionstation:kcsd_tv	agent_belongs_to_organization	company:pbs
televisionstation:wekw_tv	agent_belongs_to_organization	company:pbs
televisionstation:wlpb_tv	agent_belongs_to_organization	company:pbs
televisionstation:wmpn_tv	agent_belongs_to_organization	company:pbs
televisionstation:klpb_tv	agent_belongs_to_organization	company:pbs
televisionstation:kcos_tv	agent_belongs_to_organization	company:pbs
televisionstation:wunc_tv	agent_belongs_to_organization	company:pbs
televisionstation:wswp_tv	agent_belongs_to_organization	company:pbs
televisionstation:wgbx_tv	agent_belongs_to_organization	company:pbs
televisionstation:wmed_tv	agent_belongs_to_organization	company:pbs
televisionstation:kawe	agent_belongs_to_organization	company:pbs
televisionstation:kozk	agent_belongs_to_organization	company:pbs
televisionstation:ktca_tv	agent_belongs_to_organization	company:pbs
televisionstation:wdcq_tv	agent_belongs_to_organization	company:pbs
televisionstation:kpsd_tv	agent_belongs_to_organization	company:pbs
televisionstation:wmfe_tv	agent_belongs_to_organization	company:pbs
televisionstation:wnjn	agent_belongs_to_organization	company:pbs
televisionstation:wmvs_tv	agent_belongs_to_organization	company:pbs
televisionstation:wmea_tv	agent_belongs_to_organization	company:pbs
televisionstation:ktnw	agent_belongs_to_organization	company:pbs
televisionstation:wmpb_tv	agent_belongs_to_organization	company:pbs
televisionstation:wnjs	agent_belongs_to_organization	company:pbs
televisionstation:wiiq	agent_belongs_to_organization	company:pbs
televisionstation:wjct	agent_belongs_to_organization	company:pbs
televisionstation:woub_tv	agent_belongs_to_organization	company:pbs
televisionstation:wgiq	agent_belongs_to_organization	company:pbs
televisionstation:kzsd_tv	agent_belongs_to_organization	company:pbs
televisionstation:wosu_tv	agent_belongs_to_organization	company:pbs
televisionstation:kcge_dt	agent_belongs_to_organization	company:pbs
televisionstation:kacv_tv	agent_belongs_to_organization	company:pbs
televisionstation:wxel_tv	agent_belongs_to_organization	company:pbs
televisionstation:kedt	agent_belongs_to_organization	company:pbs
televisionstation:wkzt_tv	agent_belongs_to_organization	company:pbs
televisionstation:wrja_tv	agent_belongs_to_organization	company:pbs
televisionstation:klrn_tv	agent_belongs_to_organization	company:pbs
televisionstation:wsec	agent_belongs_to_organization	company:pbs
televisionstation:kesd_tv	agent_belongs_to_organization	company:pbs
televisionstation:klpa_tv	agent_belongs_to_organization	company:pbs
televisionstation:klne_tv	agent_belongs_to_organization	company:pbs
televisionstation:wnit_tv	agent_belongs_to_organization	company:pbs
televisionstation:wfwa	agent_belongs_to_organization	company:pbs
televisionstation:wkmr	agent_belongs_to_organization	company:pbs
televisionstation:kpts	agent_belongs_to_organization	company:pbs
televisionstation:wbiq_tv	agent_belongs_to_organization	company:pbs
televisionstation:wgpt	agent_belongs_to_organization	company:pbs
televisionstation:whla_tv	agent_belongs_to_organization	company:pbs
televisionstation:kopb_tv	agent_belongs_to_organization	company:pbs
televisionstation:kixe_tv	agent_belongs_to_organization	company:pbs
televisionstation:kpne_tv	agent_belongs_to_organization	company:pbs
televisionstation:kcdt_tv	agent_belongs_to_organization	company:pbs
televisionstation:wkas	agent_belongs_to_organization	company:pbs
televisionstation:ktsc_tv	agent_belongs_to_organization	company:pbs
televisionstation:wmav_tv	agent_belongs_to_organization	company:pbs
televisionstation:wlef_tv	agent_belongs_to_organization	company:pbs
televisionstation:kswk	agent_belongs_to_organization	company:pbs
televisionstation:wgcu_tv	agent_belongs_to_organization	company:pbs
televisionstation:witf_tv	agent_belongs_to_organization	company:pbs
televisionstation:kyne_tv	agent_belongs_to_organization	company:pbs
televisionstation:wpbo_tv	agent_belongs_to_organization	company:pbs
televisionstation:wnsc_tv	agent_belongs_to_organization	company:pbs
televisionstation:wedn	agent_belongs_to_organization	company:pbs
televisionstation:wqec	agent_belongs_to_organization	company:pbs
televisionstation:ksmq_tv	agent_belongs_to_organization	company:pbs
televisionstation:wlrn_tv	agent_belongs_to_organization	company:pbs
televisionstation:kqsd_tv	agent_belongs_to_organization	company:pbs
televisionstation:wkso_tv	agent_belongs_to_organization	company:pbs
televisionstation:kwet	agent_belongs_to_organization	company:pbs
televisionstation:kuon_tv	agent_belongs_to_organization	company:pbs
televisionstation:wtvi	agent_belongs_to_organization	company:pbs
televisionstation:wljt_tv	agent_belongs_to_organization	company:pbs
televisionstation:kcts_tv	agent_belongs_to_organization	company:pbs
televisionstation:weta_tv	agent_belongs_to_organization	company:pbs
televisionstation:whiq	agent_belongs_to_organization	company:pbs
televisionstation:wunl_tv	agent_belongs_to_organization	company:pbs
televisionstation:ksps_tv	agent_belongs_to_organization	company:pbs
televisionstation:wgbh_tv	agent_belongs_to_organization	company:pbs
televisionstation:ksre	agent_belongs_to_organization	company:pbs
televisionstation:ktne_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wkoh	agent_collaborates_with_agent	company:pbs
televisionstation:kopb_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kbme_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kisu_tv	agent_collaborates_with_agent	company:pbs
televisionstation:ksre	agent_collaborates_with_agent	company:pbs
televisionstation:whtj	agent_collaborates_with_agent	company:pbs
televisionstation:wfwa	agent_collaborates_with_agent	company:pbs
televisionstation:ktsc_tv	agent_collaborates_with_agent	company:pbs
televisionstation:ktnw	agent_collaborates_with_agent	company:pbs
televisionstation:wpba	agent_collaborates_with_agent	company:pbs
televisionstation:wpby_tv	agent_collaborates_with_agent	company:pbs
televisionstation:koac_tv	agent_collaborates_with_agent	company:pbs
televisionstation:klne_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wsec	agent_collaborates_with_agent	company:pbs
televisionstation:wmpb_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wunu	agent_collaborates_with_agent	company:pbs
televisionstation:kyne_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kedt	agent_collaborates_with_agent	company:pbs
televisionstation:koet	agent_collaborates_with_agent	company:pbs
televisionstation:wmav_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wljt_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wsiu_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kcge_dt	agent_collaborates_with_agent	company:pbs
televisionstation:wkas	agent_collaborates_with_agent	company:pbs
televisionstation:krma_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wgbx_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wmea_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wunj_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kcwc_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kuas_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wiiq	agent_collaborates_with_agent	company:pbs
