0	[-0.16328772925829044,0.2038050136738007,-0.22249590576605818,-0.025439739049587705,0.09684730626463613,0.06897162459608679,-0.01467174018992979,-0.07737531294131429,-0.21015774424180622,0.1927710808418151,0.06391838131777572,0.038857191473942586,-0.148380486023139,0.008616324404962959,0.1361648383184614,-0.15039549219380172,0.13816767340999123,-0.051178757515479914,0.13501498655897448,-0.023078676641560984,-0.02814519861026,-0.07134745218826513,0.10580096924803295,-0.09062211735437514,0.0522828104839255,0.08115599380360566,0.06236445197646336,0.1110803486209481,0.03987597267435568,0.10551812998671622,0.1728625247155083,0.1845074726228518,-0.11439374299315638,-0.1592267722190329,-0.11147863656677133,0.03576883852679273,-0.008184532097391587,-0.11253112668694547,0.20048204672390518,-0.20010813587644968,-0.17413679864370338,-0.2023502967508416,0.19723283687347348,-0.015058542588769791,-0.07224946093958169,0.02470191115998516,0.1674667450465354,0.17557930302622513,0.03273693090053671,0.17344142739420917,-0.039811838359093965,0.06670374017096098,0.17311733109184071,-0.07329412000654231,0.0561405655519582,-0.15872101485129753,-0.09514691439268647,0.062451363345800065,-0.03564779160103462,-0.0895940524273305,-0.21651321248425426,-0.02877877438633289,0.15011568447731363,0.17205296056164898]
1	[-0.011989616378396243,0.020653275667456804,-0.11797532539021213,0.009034659984737655,0.2278774020415305,0.17130087098064728,0.060229065286482475,0.21492482245125047,0.052894098185725234,0.052647772423401185,0.14433961654797267,0.1990233276982471,0.2058105047017451,0.19825015683362152,0.06675446059646428,0.2008116751880126,-0.1585664876535901,-0.19457037141343206,0.07063401030177628,0.1298644159173844,0.01622337438875583,0.04905699738542876,0.005040629840052591,-0.017671959343358218,0.1302365329524461,-0.08194443717669854,-0.005061554081920017,0.03858902652305348,0.1688277703550767,0.011634707571566202,-0.0026988956306878763,0.021994082397573354,-0.2070125609838075,0.08836893467967433,0.133972949893347,-0.17061519485438956,-0.07507795148479801,0.07151975625163134,0.01080902596687648,0.06444537569940229,-0.010004174564201954,-0.015458290365441578,-0.1610555161913964,-0.08642312458687557,0.19563856840251614,0.05161961019082204,-0.21145754081603713,0.05468659870107541,0.0662213561518493,0.037721952488038495,-0.15130776201459487,0.08810297852415494,-0.18253574310933043,-0.07508577579772505,-0.08547180650902439,0.057318181696780664,0.1534232996179199,0.029181749861398137,-0.18104880626922493,-0.1454680562822662,-0.15749670490112455,-0.21355828855311637,-0.002740546966252342,-0.22316384066415815]
2	[-0.16328772925829044,0.2038050136738007,-0.22249590576605818,-0.025439739049587705,0.09684730626463613,0.06897162459608679,-0.01467174018992979,-0.07737531294131429,-0.21015774424180622,0.1927710808418151,0.06391838131777572,0.038857191473942586,-0.148380486023139,0.008616324404962959,0.1361648383184614,-0.15039549219380172,0.13816767340999123,-0.051178757515479914,0.13501498655897448,-0.023078676641560984,-0.02814519861026,-0.07134745218826513,0.10580096924803295,-0.09062211735437514,0.0522828104839255,0.08115599380360566,0.06236445197646336,0.1110803486209481,0.03987597267435568,0.10551812998671622,0.1728625247155083,0.1845074726228518,-0.11439374299315638,-0.1592267722190329,-0.11147863656677133,0.03576883852679273,-0.008184532097391587,-0.11253112668694547,0.20048204672390518,-0.20010813587644968,-0.17413679864370338,-0.2023502967508416,0.19723283687347348,-0.015058542588769791,-0.07224946093958169,0.02470191115998516,0.1674667450465354,0.17557930302622513,0.03273693090053671,0.17344142739420917,-0.039811838359093965,0.06670374017096098,0.17311733109184071,-0.07329412000654231,0.0561405655519582,-0.15872101485129753,-0.09514691439268647,0.062451363345800065,-0.03564779160103462,-0.0895940524273305,-0.21651321248425426,-0.02877877438633289,0.15011568447731363,0.17205296056164898]
3	[-0.16328772925829044,0.2038050136738007,-0.22249590576605818,-0.025439739049587705,0.09684730626463613,0.06897162459608679,-0.01467174018992979,-0.07737531294131429,-0.21015774424180622,0.1927710808418151,0.06391838131777572,0.038857191473942586,-0.148380486023139,0.008616324404962959,0.1361648383184614,-0.15039549219380172,0.13816767340999123,-0.051178757515479914,0.13501498655897448,-0.023078676641560984,-0.02814519861026,-0.07134745218826513,0.10580096924803295,-0.09062211735437514,0.0522828104839255,0.08115599380360566,0.06236445197646336,0.1110803486209481,0.03987597267435568,0.10551812998671622,0.1728625247155083,0.1845074726228518,-0.11439374299315638,-0.1592267722190329,-0.11147863656677133,0.03576883852679273,-0.008184532097391587,-0.11253112668694547,0.20048204672390518,-0.20010813587644968,-0.17413679864370338,-0.2023502967508416,0.19723283687347348,-0.015058542588769791,-0.07224946093958169,0.02470191115998516,0.1674667450465354,0.17557930302622513,0.03273693090053671,0.17344142739420917,-0.039811838359093965,0.06670374017096098,0.17311733109184071,-0.07329412000654231,0.0561405655519582,-0.15872101485129753,-0.09514691439268647,0.062451363345800065,-0.03564779160103462,-0.0895940524273305,-0.21651321248425426,-0.02877877438633289,0.15011568447731363,0.17205296056164898]
4	[-0.15642017805097766,-0.08150287640831329,0.14929516079499724,0.0640860657355562,0.08215083404942826,-0.19521724712504254,0.09931104006859759,-0.11203469452943392,-0.07746420663306007,0.16360439784216727,0.025629684944356676,-0.04381376387331439,0.04996065754321662,0.05916957199086513,0.20374299551085434,-0.14255682446557458,-0.21137932477374088,0.19304271250720967,-0.14288567570553848,0.024745343072114286,-0.08067584876753242,0.0868688188401683,-0.10863686640784258,-0.05252030646973238,-0.20203105681786213,-0.12057942347636078,0.1729751124303235,0.1613054076352956,0.08037789820426906,-0.14749244974155906,0.15305226205656702,-0.019649620499411834,-0.015684651430023677,0.1279685283585764,-0.08845089339136027,-0.1294716479352434,-0.03460018156131821,0.10588591514072282,-0.034090595505279965,-0.026873530860101042,-0.16748818203035562,-0.08660406249991723,0.0858932156910106,-0.10943745641406344,0.21792743147656976,0.06034124601518655,0.16738499644364857,-0.020827068749539015,-0.05287033166090672,-0.1428033013533748,0.12854410052047666,0.12485620429710119,-0.13205345179524164,0.1567009446756565,-0.1966925142805473,-0.04395620133719606,0.16599804449157826,-0.1697034711413907,-0.16406502629096942,0.19459738713654928,-0.04833091852176564,-0.05196688885503325,-0.08886823905319467,-0.12309712246014698]
5	[-0.16328772925829044,0.2038050136738007,-0.22249590576605818,-0.025439739049587705,0.09684730626463613,0.06897162459608679,-0.01467174018992979,-0.07737531294131429,-0.21015774424180622,0.1927710808418151,0.06391838131777572,0.038857191473942586,-0.148380486023139,0.008616324404962959,0.1361648383184614,-0.15039549219380172,0.13816767340999123,-0.051178757515479914,0.13501498655897448,-0.023078676641560984,-0.02814519861026,-0.07134745218826513,0.10580096924803295,-0.09062211735437514,0.0522828104839255,0.08115599380360566,0.06236445197646336,0.1110803486209481,0.03987597267435568,0.10551812998671622,0.1728625247155083,0.1845074726228518,-0.11439374299315638,-0.1592267722190329,-0.11147863656677133,0.03576883852679273,-0.008184532097391587,-0.11253112668694547,0.20048204672390518,-0.20010813587644968,-0.17413679864370338,-0.2023502967508416,0.19723283687347348,-0.015058542588769791,-0.07224946093958169,0.02470191115998516,0.1674667450465354,0.17557930302622513,0.03273693090053671,0.17344142739420917,-0.039811838359093965,0.06670374017096098,0.17311733109184071,-0.07329412000654231,0.0561405655519582,-0.15872101485129753,-0.09514691439268647,0.062451363345800065,-0.03564779160103462,-0.0895940524273305,-0.21651321248425426,-0.02877877438633289,0.15011568447731363,0.17205296056164898]
6	[-0.16328772925829044,0.2038050136738007,-0.22249590576605818,-0.025439739049587705,0.09684730626463613,0.06897162459608679,-0.01467174018992979,-0.07737531294131429,-0.21015774424180622,0.1927710808418151,0.06391838131777572,0.038857191473942586,-0.148380486023139,0.008616324404962959,0.1361648383184614,-0.15039549219380172,0.13816767340999123,-0.051178757515479914,0.13501498655897448,-0.023078676641560984,-0.02814519861026,-0.07134745218826513,0.10580096924803295,-0.09062211735437514,0.0522828104839255,0.08115599380360566,0.06236445197646336,0.1110803486209481,0.03987597267435568,0.10551812998671622,0.1728625247155083,0.1845074726228518,-0.11439374299315638,-0.1592267722190329,-0.11147863656677133,0.03576883852679273,-0.008184532097391587,-0.11253112668694547,0.20048204672390518,-0.20010813587644968,-0.17413679864370338,-0.2023502967508416,0.19723283687347348,-0.015058542588769791,-0.07224946093958169,0.02470191115998516,0.1674667450465354,0.17557930302622513,0.03273693090053671,0.17344142739420917,-0.039811838359093965,0.06670374017096098,0.17311733109184071,-0.07329412000654231,0.0561405655519582,-0.15872101485129753,-0.09514691439268647,0.062451363345800065,-0.03564779160103462,-0.0895940524273305,-0.21651321248425426,-0.02877877438633289,0.15011568447731363,0.17205296056164898]
7	[0.1695670283525846,-0.05473739418009518,0.023720538914401835,0.20143231829211425,0.011391615939544993,-0.1804617081759057,-0.022305976940606622,0.14309766292082576,0.17757424641404662,-0.05212643234064438,-0.13866454373920192,0.01086360763419148,-0.054775326412792716,-0.06009664402162989,0.1788611553515393,-0.06776578660711402,-0.0023179219746908646,0.20060311312454557,0.05469131843514275,-0.10713992953977955,0.17346327369722903,-0.07324667579804793,-0.08798885232719832,0.04408690532434668,-0.15745517571136175,0.15276484392152911,0.03795405130138729,-0.19173059364870318,-0.02407520125330044,-0.03330364709043192,-0.17651437797779446,0.051622717897138924,0.15179588483013298,0.0026221571986138324,-0.01765780446892129,-0.184757315921041,0.20422351096617378,0.10706835915906568,-0.09055576852726871,-0.18354610061588553,0.0748764655619503,0.05313842194776811,-0.20541040936721866,0.08031645039647914,-0.0533617963412554,0.1725319351656059,-0.19482387354509062,-0.2030145404805115,-0.0776200899566097,0.19320360966645692,-0.12502587087513573,-0.008283838975460818,-0.038102325234041806,-0.17227297008036743,-0.117513659384015,0.11914167651501825,-0.14982578156080092,0.17183147813608085,-0.06484843334163704,-0.05850561476827067,0.01794302744160418,-0.15574337266126495,-0.000847248722163638,0.1765467191713223]
8	[-0.16328772925829044,0.2038050136738007,-0.22249590576605818,-0.025439739049587705,0.09684730626463613,0.06897162459608679,-0.01467174018992979,-0.07737531294131429,-0.21015774424180622,0.1927710808418151,0.06391838131777572,0.038857191473942586,-0.148380486023139,0.008616324404962959,0.1361648383184614,-0.15039549219380172,0.13816767340999123,-0.051178757515479914,0.13501498655897448,-0.023078676641560984,-0.02814519861026,-0.07134745218826513,0.10580096924803295,-0.09062211735437514,0.0522828104839255,0.08115599380360566,0.06236445197646336,0.1110803486209481,0.03987597267435568,0.10551812998671622,0.1728625247155083,0.1845074726228518,-0.11439374299315638,-0.1592267722190329,-0.11147863656677133,0.03576883852679273,-0.008184532097391587,-0.11253112668694547,0.20048204672390518,-0.20010813587644968,-0.17413679864370338,-0.2023502967508416,0.19723283687347348,-0.015058542588769791,-0.07224946093958169,0.02470191115998516,0.1674667450465354,0.17557930302622513,0.03273693090053671,0.17344142739420917,-0.039811838359093965,0.06670374017096098,0.17311733109184071,-0.07329412000654231,0.0561405655519582,-0.15872101485129753,-0.09514691439268647,0.062451363345800065,-0.03564779160103462,-0.0895940524273305,-0.21651321248425426,-0.02877877438633289,0.15011568447731363,0.17205296056164898]
9	[-0.16328772925829044,0.2038050136738007,-0.22249590576605818,-0.025439739049587705,0.09684730626463613,0.06897162459608679,-0.01467174018992979,-0.07737531294131429,-0.21015774424180622,0.1927710808418151,0.06391838131777572,0.038857191473942586,-0.148380486023139,0.008616324404962959,0.1361648383184614,-0.15039549219380172,0.13816767340999123,-0.051178757515479914,0.13501498655897448,-0.023078676641560984,-0.02814519861026,-0.07134745218826513,0.10580096924803295,-0.09062211735437514,0.0522828104839255,0.08115599380360566,0.06236445197646336,0.1110803486209481,0.03987597267435568,0.10551812998671622,0.1728625247155083,0.1845074726228518,-0.11439374299315638,-0.1592267722190329,-0.11147863656677133,0.03576883852679273,-0.008184532097391587,-0.11253112668694547,0.20048204672390518,-0.20010813587644968,-0.17413679864370338,-0.2023502967508416,0.19723283687347348,-0.015058542588769791,-0.07224946093958169,0.02470191115998516,0.1674667450465354,0.17557930302622513,0.03273693090053671,0.17344142739420917,-0.039811838359093965,0.06670374017096098,0.17311733109184071,-0.07329412000654231,0.0561405655519582,-0.15872101485129753,-0.09514691439268647,0.062451363345800065,-0.03564779160103462,-0.0895940524273305,-0.21651321248425426,-0.02877877438633289,0.15011568447731363,0.17205296056164898]
