0	[-0.20252950672015743,-0.05385071782760839,-0.0984843475155469,-0.01786892732270736,0.031123006426056206,-0.09306377530203021,-0.09490301990188088,-0.18946236914740555,-0.013358852687146311,0.011222025055670996,-0.19057607679462105,0.08088263215061782,0.022900375989884703,0.1086250669829276,-0.10902697155809057,-0.022951234511993965,0.16928171895035696,0.0024258952315957356,0.03621137840429943,-0.20960052008722813,-0.03754730221366529,0.08336033096881625,0.1194909945668034,0.036106976477046415,0.16920392837805506,0.0523846760642352,-0.03866192498239491,0.21998777734608302,-0.166804237872594,-0.1085558785574522,0.1530353290891233,-0.2073720736366597,0.09696530893094957,0.08380846125588523,-0.09983289310797754,0.22563724910130403,-0.012310355567814686,-0.031316688218281034,-0.06760908893283953,-0.16676211446179517,-0.1864373519896469,0.2104549546828916,-0.018274949610760278,0.1834547129723398,0.10687481302667819,-0.1774457020095147,-0.05003205164362082,0.07447277649278161,0.008029657469128183,-0.22156619604769806,0.17350077970056113,-0.12804043724330327,0.04550991599547987,0.15054361199137065,-0.1676474038072195,-0.0029788914111898318,0.06867276392134988,-0.20002616628886952,0.12202971583164574,0.08958666836617367,0.05118587407122736,-0.05183642578707558,0.1781622627361779,-0.1023570631447986]
1	[-0.010144959235364364,-0.07284838760082063,-0.06354792765218688,0.17540900758180694,0.05165865535281892,-0.21260602749899035,-0.08171333947916655,-0.01603953278523773,-0.21273977242537984,0.20378527639219504,0.03821838842952378,0.10905259925902408,0.1563104385516765,0.19600059302356748,-0.1022833906047293,-0.021754908206481297,0.007274422474639505,0.15167609159100334,0.19526054406333476,0.11143532056550802,-0.020505437581573836,0.2051590103525167,-0.08592785516501852,-0.1937011698822527,-0.1800148556399441,-0.1457976729881015,0.16642448309323443,-0.15213587381972657,0.06985122956085409,0.04882242644126212,0.08383988667396101,0.0811064150769912,-0.11906189018077924,-0.005805384176153473,0.16166943619619892,0.02766598857301594,-0.10564513922064399,-0.07956917025214276,0.07218116128658261,-0.12639389867630138,-0.10881837026230873,-0.16083474996470543,-0.19671429759338938,0.17660091959635685,-0.1151267451243918,0.05804715005167361,0.018792257502054127,0.0980097743288559,0.15635762045779106,-0.1434163392669705,-0.16272398612745353,0.1949455005924961,-0.07087527459082547,0.035141301321075506,0.13842663232659827,0.1853439484694984,-0.04060079582322583,0.03691898952042917,0.05883552175780377,-0.014047236426165705,-0.12082171374606548,-0.16816289101167442,0.09843862751850656,-0.04677921324928903]
2	[0.1061758403047781,0.16490534521705139,0.03931279167830505,-0.05982728434331582,-0.18146808771885872,0.10524622285422318,0.19631872843565754,0.15050842080562588,0.008032639781135501,-0.1150954493245859,0.06509944529140291,0.0811240553501382,-0.15221338877949617,0.07332752830923098,-0.11051426238450661,0.07246880247378601,-0.17482172558539164,0.056271521702473536,-0.13251496865071466,0.2012594608159507,0.14600237003510907,-0.14027817159034695,0.03457899757205233,-0.1369647511911992,0.20498947668012762,-0.14649483307775285,0.10205370075714644,-0.035946155267402156,0.20557975047466065,-0.041859388961163466,-0.12056585472436013,0.18820798180997192,0.006290004672862009,-0.08349966233846363,0.02565442174163522,0.1389126730338792,0.1241770553753447,0.13885828953855142,0.17865399337401053,-0.2017473707390366,-0.0044423937992561745,-0.17591637284403108,-0.0037836094010926993,-0.12403021213981444,-0.054787524527177146,0.03260440709719451,0.11638113302011936,0.11968658818233623,-0.07516107512083149,-0.15331286475387232,-0.17435321532572262,-0.08736924679602438,-0.20738876641225734,0.19365650834310388,-0.10851644813973023,-0.05907394484991708,0.05462895494747779,-0.0022228279117343756,-0.09993596761668784,-0.13277573749075486,0.02615533877651408,-0.09735266816340507,-0.03775762406881735,0.2035067449049851]
3	[-0.20252950672015743,-0.05385071782760839,-0.0984843475155469,-0.01786892732270736,0.031123006426056206,-0.09306377530203021,-0.09490301990188088,-0.18946236914740555,-0.013358852687146311,0.011222025055670996,-0.19057607679462105,0.08088263215061782,0.022900375989884703,0.1086250669829276,-0.10902697155809057,-0.022951234511993965,0.16928171895035696,0.0024258952315957356,0.03621137840429943,-0.20960052008722813,-0.03754730221366529,0.08336033096881625,0.1194909945668034,0.036106976477046415,0.16920392837805506,0.0523846760642352,-0.03866192498239491,0.21998777734608302,-0.166804237872594,-0.1085558785574522,0.1530353290891233,-0.2073720736366597,0.09696530893094957,0.08380846125588523,-0.09983289310797754,0.22563724910130403,-0.012310355567814686,-0.031316688218281034,-0.06760908893283953,-0.16676211446179517,-0.1864373519896469,0.2104549546828916,-0.018274949610760278,0.1834547129723398,0.10687481302667819,-0.1774457020095147,-0.05003205164362082,0.07447277649278161,0.008029657469128183,-0.22156619604769806,0.17350077970056113,-0.12804043724330327,0.04550991599547987,0.15054361199137065,-0.1676474038072195,-0.0029788914111898318,0.06867276392134988,-0.20002616628886952,0.12202971583164574,0.08958666836617367,0.05118587407122736,-0.05183642578707558,0.1781622627361779,-0.1023570631447986]
4	[-0.011989616378396243,0.020653275667456804,-0.11797532539021213,0.009034659984737655,0.2278774020415305,0.17130087098064728,0.060229065286482475,0.21492482245125047,0.052894098185725234,0.052647772423401185,0.14433961654797267,0.1990233276982471,0.2058105047017451,0.19825015683362152,0.06675446059646428,0.2008116751880126,-0.1585664876535901,-0.19457037141343206,0.07063401030177628,0.1298644159173844,0.01622337438875583,0.04905699738542876,0.005040629840052591,-0.017671959343358218,0.1302365329524461,-0.08194443717669854,-0.005061554081920017,0.03858902652305348,0.1688277703550767,0.011634707571566202,-0.0026988956306878763,0.021994082397573354,-0.2070125609838075,0.08836893467967433,0.133972949893347,-0.17061519485438956,-0.07507795148479801,0.07151975625163134,0.01080902596687648,0.06444537569940229,-0.010004174564201954,-0.015458290365441578,-0.1610555161913964,-0.08642312458687557,0.19563856840251614,0.05161961019082204,-0.21145754081603713,0.05468659870107541,0.0662213561518493,0.037721952488038495,-0.15130776201459487,0.08810297852415494,-0.18253574310933043,-0.07508577579772505,-0.08547180650902439,0.057318181696780664,0.1534232996179199,0.029181749861398137,-0.18104880626922493,-0.1454680562822662,-0.15749670490112455,-0.21355828855311637,-0.002740546966252342,-0.22316384066415815]
5	[0.027737476863902006,0.05200769602403827,-0.09487736125618004,-0.15266696629450166,-0.13484008041122164,0.04410030758150143,-0.027969855852478916,0.040846773542762706,-0.007079377059466865,0.1229671112291572,0.17872030590070853,-0.09900732235838754,-0.021683514424594694,0.018341823875900682,0.17485752212869737,-0.042417641274173135,-0.12667390012657362,0.11483959488816985,-0.1999844023376099,-0.06222985390477712,-0.055870559091344876,-0.1435888228445195,0.05826947033412095,-0.006589969868451662,-0.06237876466658687,0.2085017850586068,0.1854512848508689,-0.19764334030697261,0.021989190459989583,0.19243833626595233,0.18108805691579005,0.09475335604402269,0.1675199820853828,0.09459977307808622,-0.013516764321351722,-0.2037189941362655,-0.19369029697367257,-0.0408109558142462,-0.10449714971395374,-0.1089080312451995,-0.020110746910854065,0.07917368397738475,-0.14779084594344952,-0.12897541406492397,-0.12382465403773173,-0.0675229100993795,0.013965957326754099,0.14869004238240988,-0.20115913137712085,0.12172959551386317,0.014080898542072624,0.19015483978538497,-0.14301584071477305,-0.14042286761245185,-0.15298345080149242,-0.016003809529689307,-0.18680720627344205,0.03126593060500609,0.00442473797743207,-0.17037586357396178,0.07438653590026553,0.19201293490137666,-0.2092234239460373,0.12877954649938184]
6	[-0.17871943049457814,-0.028334513329193414,0.11095166430914973,-0.13522181305226436,0.08283744647332508,-0.0726024133597558,-0.12514645994706863,-0.17244105287434838,-0.12214101560656171,-0.2034054477146899,-0.13987042556460683,0.16151876880431237,-0.0400307840988329,0.0929428055873618,0.19939825513613738,-0.03776176568172365,0.20953856334388052,-0.09993297390969821,0.035259288795486156,-0.18212428512494125,0.11809164773342848,-0.17250499419757134,-0.023237897465645103,0.10688952787491392,0.08588898572423342,-0.13054735288853528,-0.21032643429163692,0.08349935658010944,-0.0662661134544729,-0.13641508958123366,0.045301142488187486,0.08509623806882281,-0.07042182368337656,-0.027506968204464226,0.11989458396224,-0.12309839273695683,0.20022309809154024,0.07243375503107724,-0.15362399428791237,0.1131764962029329,0.055769604307609674,-0.15822004024373357,0.07293687512560067,0.18945964917510502,0.13795399445725792,-0.00808590778655276,0.09667904739077934,-0.02932152358849985,0.16664514718680884,0.201655601190794,0.03026217694499578,0.11893748821009203,-0.02906849758176725,0.08061613498315853,0.07203735610945634,0.08986344844473222,-0.12795416276784036,-0.16766101799025815,-0.17060223529434468,-0.0843882783606152,-0.046367653151938484,0.04810286314657151,-0.18126711275399462,-0.18993425692323707]
7	[0.0847729030125601,-0.17825266259016098,0.17487852860062547,-0.1384296473725268,-0.1857678118306005,-0.11597424309862106,-0.06998936963327196,0.11236972816908168,-0.051390481315976816,0.14403831699412814,0.15398608809941658,0.018255427728523274,0.09364570142086073,0.18200319467338985,0.0758759633574631,0.18306931736454093,0.1552364051957715,0.07656829175972292,0.08827506248200326,-0.15324749629353754,-0.06196880372524953,-0.1810404655534176,0.007385684204421411,-0.15109086297233126,-0.027793747744158746,-0.05486860809898867,0.1782150692260429,-0.046383615671783784,0.14407497959397,0.1828184744909908,-0.192552689504413,-0.10143335157963594,-0.008896045999720823,0.13673784052953222,0.08044769281104977,0.14237774693680924,-0.12384019186881524,0.07275379850975948,-0.0006652807592835118,0.14133905260935456,-0.16541152884487223,-0.12981310207382646,0.002398771419257451,0.11863458712505782,0.19161292812353867,0.1500003543975562,0.14688830290888022,0.1532121443578683,-0.0554651247317491,0.0319786996808188,-0.06838113099693387,-0.15488406389688333,0.10646979098124261,-0.036700728098492105,0.10857521480287424,-0.16143282742521423,0.04397004938422059,-0.09717535429719455,-0.15198551152768494,-0.15580541005366358,-0.16098439266815892,0.1666991356042984,-0.05014756947276042,-0.1013960822958619]
8	[0.0847729030125601,-0.17825266259016098,0.17487852860062547,-0.1384296473725268,-0.1857678118306005,-0.11597424309862106,-0.06998936963327196,0.11236972816908168,-0.051390481315976816,0.14403831699412814,0.15398608809941658,0.018255427728523274,0.09364570142086073,0.18200319467338985,0.0758759633574631,0.18306931736454093,0.1552364051957715,0.07656829175972292,0.08827506248200326,-0.15324749629353754,-0.06196880372524953,-0.1810404655534176,0.007385684204421411,-0.15109086297233126,-0.027793747744158746,-0.05486860809898867,0.1782150692260429,-0.046383615671783784,0.14407497959397,0.1828184744909908,-0.192552689504413,-0.10143335157963594,-0.008896045999720823,0.13673784052953222,0.08044769281104977,0.14237774693680924,-0.12384019186881524,0.07275379850975948,-0.0006652807592835118,0.14133905260935456,-0.16541152884487223,-0.12981310207382646,0.002398771419257451,0.11863458712505782,0.19161292812353867,0.1500003543975562,0.14688830290888022,0.1532121443578683,-0.0554651247317491,0.0319786996808188,-0.06838113099693387,-0.15488406389688333,0.10646979098124261,-0.036700728098492105,0.10857521480287424,-0.16143282742521423,0.04397004938422059,-0.09717535429719455,-0.15198551152768494,-0.15580541005366358,-0.16098439266815892,0.1666991356042984,-0.05014756947276042,-0.1013960822958619]
9	[-0.20252950672015743,-0.05385071782760839,-0.0984843475155469,-0.01786892732270736,0.031123006426056206,-0.09306377530203021,-0.09490301990188088,-0.18946236914740555,-0.013358852687146311,0.011222025055670996,-0.19057607679462105,0.08088263215061782,0.022900375989884703,0.1086250669829276,-0.10902697155809057,-0.022951234511993965,0.16928171895035696,0.0024258952315957356,0.03621137840429943,-0.20960052008722813,-0.03754730221366529,0.08336033096881625,0.1194909945668034,0.036106976477046415,0.16920392837805506,0.0523846760642352,-0.03866192498239491,0.21998777734608302,-0.166804237872594,-0.1085558785574522,0.1530353290891233,-0.2073720736366597,0.09696530893094957,0.08380846125588523,-0.09983289310797754,0.22563724910130403,-0.012310355567814686,-0.031316688218281034,-0.06760908893283953,-0.16676211446179517,-0.1864373519896469,0.2104549546828916,-0.018274949610760278,0.1834547129723398,0.10687481302667819,-0.1774457020095147,-0.05003205164362082,0.07447277649278161,0.008029657469128183,-0.22156619604769806,0.17350077970056113,-0.12804043724330327,0.04550991599547987,0.15054361199137065,-0.1676474038072195,-0.0029788914111898318,0.06867276392134988,-0.20002616628886952,0.12202971583164574,0.08958666836617367,0.05118587407122736,-0.05183642578707558,0.1781622627361779,-0.1023570631447986]
