academicfield:news	academic_program_at_university	university:college
website:new_york_times	acquired	blog:about_com
website:new_york_times	acquired	newspaper:boston_globe
company:yahoo001	acquired	website:kelkoo
company:yahoo001	acquired	company:maven_networks
company:yahoo001	acquired	website:inktomi
company:yahoo001	acquired	company:dialpad
biotechcompany:apple	acquired	biotechcompany:pa_semi
company:post	agent_acts_in_location	beach:hague
company:post	agent_acts_in_location	trail:in_los_angeles
sportsteam:man_united	agent_acts_in_location	stadiumoreventvenue:old_trafford
company:post	agent_acts_in_location	retailstore:la
company:post	agent_acts_in_location	city:beirut
university:mississippi_state_university	agent_acts_in_location	city:starkville
company:post	agent_acts_in_location	river:paraguay
company:post	agent_acts_in_location	beach:nova_scotia
company:post	agent_acts_in_location	city:richmond_hill
company:post	agent_acts_in_location	port:belgrade
sportsteam:colorado_state	agent_acts_in_location	city:fort_collins_loveland
company:ryanair001	agent_acts_in_location	county:dublin
company:ryanair001	agent_acts_in_location	stateorprovince:rimini
company:post	agent_acts_in_location	city:caracas
country:middle	agent_acts_in_location	website:asian
company:ryanair001	agent_acts_in_location	visualizablescene:manchester_airports
company:post	agent_acts_in_location	trail:in_new_jersey
company:ryanair001	agent_acts_in_location	city:marseille
company:post	agent_acts_in_location	airport:cyprus
company:post	agent_acts_in_location	trail:in_illinois
company:post	agent_acts_in_location	city:jakarta
company:post	agent_acts_in_location	city:newyork
male:notre_dame	agent_acts_in_location	city:beirut
company:post	agent_acts_in_location	country:republic_of_austria
sportsleague:new	agent_acts_in_location	city:delhi
company:ryanair001	agent_acts_in_location	city:nimes
company:post	agent_acts_in_location	trail:in_philadelphia
personmexico:ncaa	agent_acts_in_location	skyscraper:autzen_stadium
company:post	agent_acts_in_location	beach:chico_california
company:post	agent_acts_in_location	visualizablescene:macau
company:post	agent_acts_in_location	transportation:in_san_francisco
coach:new_jersey_devils	agent_belongs_to_organization	sportsleague:nhl
coach:new_orleans_hornets	agent_belongs_to_organization	sportsleague:nba
coach:san_antonio_spurs	agent_belongs_to_organization	sportsleague:nba
personus:david_wright	agent_belongs_to_organization	sportsteam:new_york_mets
sportsteam:grambling_tigers	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:arizona_wildcats	agent_collaborates_with_agent	personmexico:ncaa
politician:obama	agent_collaborates_with_agent	personus:candidates_john_mccain
sportsteam:johns_hopkins_blue_jays	agent_collaborates_with_agent	personmexico:ncaa
newspaper:jane	agent_collaborates_with_agent	male:world
politician:obama	agent_collaborates_with_agent	female:hillary
politicianus:joe_biden	agent_collaborates_with_agent	politician:obama
sportsteam:usc	agent_collaborates_with_agent	personmexico:ncaa
female:hillary	agent_collaborates_with_agent	person:house
personus:candidates_john_mccain	agent_collaborates_with_agent	politician:obama
sportsteam:citadel_bulldogs	agent_collaborates_with_agent	personmexico:ncaa
animal:head	agent_collaborates_with_agent	personaustralia:smith
politicianus:ronald_reagan	agent_collaborates_with_agent	politician:obama
sportsteam:buffalo_state	agent_collaborates_with_agent	personmexico:ncaa
company:yahoo001	agent_collaborates_with_agent	ceo:terry_semel
sportsteam:army_black_knights	agent_collaborates_with_agent	personmexico:ncaa
male:world	agent_collaborates_with_agent	person:man
sportsteam:louisville_cardinals	agent_collaborates_with_agent	personmexico:ncaa
personnorthamerica:john_mccain	agent_collaborates_with_agent	politician:clinton
sportsteam:james_madison_dukes	agent_collaborates_with_agent	personmexico:ncaa
website:yahoo_mail	agent_collaborates_with_agent	ceo:terry_semel
sportsteam:niagara_purple_eagles	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:army_black_knights	agent_collaborates_with_agent	person:john_o_leary
sportsteam:iupui_jaguars	agent_collaborates_with_agent	personmexico:ncaa
politician:obama	agent_collaborates_with_agent	politicianus:al_gore
sportsteam:montana_grizzlies	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:oral_roberts_golden_eagles	agent_collaborates_with_agent	personmexico:ncaa
politicianus:george_w__bush	agent_collaborates_with_agent	politician:obama
coach:hayes	agent_collaborates_with_agent	animal:head
politician:obama	agent_collaborates_with_agent	personus:tiger_woods
personnorthamerica:hillary_rodham	agent_collaborates_with_agent	politician:obama
sportsteam:boston_college	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:eastern_kentucky_colonels	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:iowa_state	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:dayton_flyers	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:new_mexico_lobos	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:utep_miners	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:vanderbilt_commodores	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:albany_great_danes	agent_collaborates_with_agent	personmexico:ncaa
animal:head	agent_collaborates_with_agent	coach:hayes
politician:obama	agent_collaborates_with_agent	politicianus:biden
