0	[-0.31911641359329224, 0.384450763463974, -0.5367066264152527, -0.8933772444725037, 0.5766549706459045, 1.507015347480774, -0.38264840841293335, 0.08171609044075012, -0.6851698160171509, 0.1288648247718811, 0.571194052696228, 0.48703745007514954, -0.7405431866645813, -0.7128009796142578, 0.5475254058837891, 0.5548086166381836, 0.7677616477012634, -0.7595617771148682, -1.0847842693328857, -0.8253305554389954, 0.37066859006881714, -0.04809590056538582, 0.512533962726593, -0.9018062353134155, 0.2599979043006897, -0.5013165473937988, -0.2440800964832306, -0.07367216050624847, -0.9889495968818665, -0.8271819353103638, -0.1920895278453827, -0.7882647514343262, 0.09432141482830048, 0.35272711515426636, -0.039551377296447754, -0.9859967827796936, -0.732395350933075, -0.8730632662773132, 0.029873276129364967, -0.303072065114975, -0.75937819480896, -0.6438885927200317, 1.0560680627822876, -1.3617855310440063, 1.1198676824569702, -0.055492281913757324, 0.6718302965164185, 0.9829650521278381, 1.031037449836731, -0.24040113389492035, 0.694983720779419, 0.2571598291397095, 0.4577581584453583, -0.4940727949142456, 0.8721911311149597, -0.7384029030799866, 0.6424737572669983, 0.3745920956134796, 0.9710178971290588, 1.5389460325241089, -1.0284814834594727, 0.35631388425827026, 0.7177721261978149, -0.39783433079719543, 0.4079796373844147, -1.0770210027694702, -0.42286401987075806, 0.8213005065917969, -0.6927573084831238, -0.6105042099952698, -0.5579450130462646, 0.37903279066085815, -0.3480996787548065, 0.8036830425262451, 0.4516940414905548, 1.2786222696304321, 0.6143097877502441, -0.060152605175971985, -0.5915580987930298, 0.43387463688850403, -0.8440343141555786, 0.10237880051136017, 0.4550640881061554, -0.4923873543739319, 0.9796961545944214, -0.12021520733833313, 1.010503888130188, -0.2634909451007843, 0.8210404515266418, -0.729734480381012, 0.38392373919487, -0.9246933460235596, 0.8335046172142029, -0.4108748733997345, 0.11066082864999771, -0.13834965229034424, -0.13395705819129944, -0.4626411199569702, 0.47656744718551636, 0.04728558287024498]
1	[-0.16254374384880066, -0.1038220077753067, 0.573677122592926, -0.45821163058280945, -0.21191339194774628, -0.5676124095916748, 0.4174075722694397, -0.8964253067970276, -0.5487215518951416, -0.062531478703022, -0.6098669171333313, -0.2775939404964447, -1.1085896492004395, 0.2364487200975418, 0.4477953314781189, 0.6004749536514282, 0.6779765486717224, 0.44169315695762634, -1.5068082809448242, -0.1491573601961136, 0.3422360122203827, -0.8359782695770264, 0.7579450607299805, -0.2577228844165802, -0.6058347225189209, -0.09953784197568893, -0.5443062782287598, -1.1356843709945679, -1.294364094734192, -0.7057502865791321, 0.08014760166406631, 0.5262662768363953, 0.617883563041687, -0.06481718271970749, 0.2703540027141571, -0.49037471413612366, -0.11404716968536377, -0.9024181365966797, -0.9191233515739441, -0.21028698980808258, -1.173040747642517, 0.0161309614777565, 1.0557690858840942, 1.2669973373413086, -0.10999779403209686, 0.30318623781204224, 1.001181721687317, -0.568101167678833, 0.1948026567697525, -0.8661497831344604, -0.486016184091568, 0.5244351029396057, 0.49118772149086, -0.6011400818824768, 0.300819993019104, 0.6444436311721802, -0.7321790456771851, -0.3250061273574829, 1.0580493211746216, -0.05803362652659416, 0.93190598487854, 0.7783120274543762, 0.9632006883621216, 0.2524453103542328, -0.017456401139497757, 0.07552212476730347, -0.789957582950592, 0.13274474442005157, -0.27772313356399536, -0.56865394115448, 0.2682715952396393, 0.393049418926239, -0.2108353227376938, 0.2809464931488037, 0.2932223677635193, -0.7928647398948669, 0.32339802384376526, -0.09391050040721893, 1.023030161857605, -0.7880422472953796, 0.046968426555395126, 1.0795295238494873, -0.6226645112037659, 0.7514661550521851, 0.0772441029548645, 0.34816479682922363, -1.0527033805847168, -0.5448400378227234, -0.02537005953490734, -0.3138423562049866, 0.36496078968048096, 0.668132483959198, 0.14371827244758606, -1.1466078758239746, -1.2503890991210938, -0.16561318933963776, 0.8029175996780396, 0.43515539169311523, 0.9647417068481445, -0.24505120515823364]
2	[0.8246284127235413, 0.9797203540802002, -0.26815780997276306, -0.7313671112060547, -0.3031536340713501, -1.0708894729614258, 0.31446704268455505, -1.2677088975906372, 1.0530633926391602, -0.9677470922470093, -0.019827134907245636, -0.029443781822919846, -1.051472544670105, 0.3318415880203247, -0.06914270669221878, 0.589616596698761, 0.7407165169715881, -0.21127429604530334, -0.861849308013916, -1.2316210269927979, 0.32059717178344727, -0.7923961281776428, 1.0094102621078491, 0.47244152426719666, 1.1770073175430298, 0.1925313025712967, -0.7277588248252869, 0.6514561772346497, -0.9605364203453064, -0.29746395349502563, 0.4268245995044708, -0.8613985180854797, -0.6423138380050659, 1.1733355522155762, 0.12124083191156387, 0.3341246545314789, -0.08351736515760422, -0.3976188898086548, 0.9689376354217529, 0.5424464344978333, -1.5022748708724976, 0.3863145411014557, 0.4382409453392029, 0.5479887127876282, 0.6185897588729858, -0.23528660833835602, 0.46728238463401794, -0.19175490736961365, -0.1367788314819336, -0.6380824446678162, -0.5344245433807373, 0.4179289937019348, -0.29789483547210693, 0.30032458901405334, 0.7467255592346191, -0.0275602787733078, 1.0604186058044434, 1.1322988271713257, 0.8504854440689087, 0.6908857226371765, 0.9432260394096375, 0.4093611240386963, 0.6249852776527405, -0.5847689509391785, 1.109241008758545, 1.174463152885437, -0.8304824829101562, -0.8040264248847961, 0.2038547396659851, 0.662925124168396, 0.5880469083786011, 0.5916458964347839, -1.3310807943344116, -0.012801503762602806, -0.14078564941883087, -1.0212018489837646, 0.6318231225013733, 0.36716586351394653, 1.1673744916915894, -0.9550899267196655, -0.08608060330152512, 0.9584706425666809, -0.3523644804954529, -1.0027775764465332, 0.8103233575820923, 1.3290373086929321, 0.670966625213623, 0.040101006627082825, -0.3997652232646942, 0.30484116077423096, 0.5961155295372009, -0.5944862961769104, -0.7806376814842224, -1.3139159679412842, -0.07783492654561996, 1.165655493736267, 0.5482529997825623, 0.06260668486356735, 0.7976517081260681, -0.7365829348564148]
3	[0.40224018692970276, -0.6829836964607239, -0.11672990024089813, -0.5954592823982239, -0.3286212682723999, -0.7034691572189331, 0.9720414280891418, -0.9537261128425598, 1.371087908744812, -1.7261240482330322, 0.1976533681154251, 0.8705504536628723, -1.1285114288330078, 1.2393401861190796, -0.6470487117767334, 0.8206871151924133, -0.825617790222168, -0.6095070838928223, -0.8398880958557129, -0.8999963402748108, 1.0368282794952393, -0.06786249577999115, 1.1065654754638672, -0.8041369915008545, 0.7308727502822876, -0.8598248362541199, -1.1413941383361816, 0.9715574383735657, 0.00928992684930563, -0.9135713577270508, 0.2575988471508026, 1.0101988315582275, 1.2642083168029785, 0.7308672666549683, -0.3814336061477661, -0.6447505950927734, -0.6813831329345703, -0.1861414909362793, -1.149268627166748, -0.8896737694740295, -1.4705435037612915, -0.9148781299591064, 1.0799586772918701, 0.8271780014038086, 0.8446180820465088, 0.3632500469684601, -0.7121023535728455, 0.5476875305175781, -0.7772981524467468, -1.3663852214813232, -1.0197992324829102, -0.5587711930274963, -0.8738424777984619, -0.5036247372627258, -0.702139675617218, -0.2380753606557846, 0.7797974348068237, -0.08068294823169708, 0.8508846163749695, -0.4771241843700409, 1.0225697755813599, -0.639519989490509, 1.3411964178085327, -0.5140915513038635, 1.5998271703720093, 0.6167123317718506, -1.1262999773025513, -0.9448871612548828, -0.19882142543792725, 0.8956179022789001, -0.057760003954172134, 0.6421859264373779, -1.4047353267669678, -0.5555248856544495, 0.9401774406433105, -0.60741126537323, -0.7163167595863342, 0.6680576801300049, 1.3803155422210693, -1.0561072826385498, -0.71616131067276, 0.5860299468040466, -0.41248592734336853, 0.03213639557361603, -0.4584953188896179, 1.571466088294983, -0.7104386687278748, -0.525040328502655, 0.07251957058906555, 0.17007975280284882, 1.3678274154663086, -0.5284951329231262, 0.5766549110412598, -0.4346722662448883, -0.3870474398136139, -0.3067258596420288, 0.9379016160964966, -0.5363689064979553, -0.6159103512763977, 0.6366551518440247]
4	[-0.5518814325332642, -0.11257347464561462, 0.4850061237812042, 0.2612067759037018, 0.822335422039032, -0.5334896445274353, -0.1660381704568863, 0.3738306760787964, -0.36820995807647705, 0.7538760304450989, -0.13410019874572754, -0.4005427062511444, 0.5269811749458313, -0.4367826282978058, -0.01737041212618351, 0.8387324810028076, 0.35164085030555725, 0.8180279731750488, -1.2321281433105469, 0.28987687826156616, 0.5393784046173096, 0.5158774852752686, -0.6997262239456177, 0.6740093231201172, -0.7209062576293945, -0.20879808068275452, -0.5939899682998657, 0.7110691666603088, -1.4674324989318848, -0.03961976617574692, 0.33922791481018066, 0.17746742069721222, -0.6037149429321289, 0.5408794283866882, 0.47099852561950684, 0.7146921157836914, -0.93886399269104, -0.4289783835411072, -0.3800079822540283, 0.7153862714767456, -0.8437849879264832, -0.1621006280183792, -0.2956254482269287, -0.9206674098968506, -0.4779455065727234, 0.6358205080032349, -0.6614982485771179, 0.47754961252212524, 0.3541561961174011, 0.30680280923843384, -0.3946225345134735, -0.47204509377479553, 0.6696703433990479, -0.6572301983833313, 0.407087504863739, 0.4083508551120758, 0.34039488434791565, 0.43590036034584045, 0.3196638524532318, -0.5267184972763062, 0.279915988445282, -0.4511132836341858, -0.3046744167804718, 0.21996423602104187, -0.07510866224765778, 0.5503524541854858, 0.23435263335704803, -0.06658168882131577, -0.3378339409828186, 0.5714922547340393, 0.1835826188325882, 0.4109375774860382, 0.23088416457176208, -0.3947788178920746, -0.45434102416038513, 0.6710294485092163, 0.3297995626926422, 0.40280091762542725, -0.32542940974235535, -0.40819692611694336, -0.6898899674415588, 0.19336867332458496, -0.18875445425510406, -0.08621591329574585, -0.30791375041007996, -0.5796793103218079, -0.7335889935493469, -0.20416215062141418, 0.8013376593589783, 0.90004962682724, 0.27867981791496277, 0.5658817887306213, 0.7912219166755676, -0.18049655854701996, 0.3124125897884369, -0.4688579738140106, -0.40149009227752686, 0.6661651134490967, -0.19869469106197357, -0.45655110478401184]
5	[-0.18243886530399323, -0.06784068793058395, 0.7735934853553772, -0.22521468997001648, 0.3790535628795624, 0.21672141551971436, 0.30353522300720215, 0.2821469008922577, -0.17842860519886017, 0.7122538089752197, 0.762782096862793, -0.5495955348014832, -0.5005066990852356, -1.1356201171875, 0.44635018706321716, -0.5733876824378967, 0.22554142773151398, 0.6217584609985352, -0.580053985118866, 0.2713257074356079, 0.7789457440376282, -0.8507089018821716, -0.4753863215446472, -0.34475016593933105, 1.231611728668213, -0.4162106215953827, 0.3822891116142273, -0.036723699420690536, -0.7132686972618103, 0.691896915435791, -0.4359355568885803, 0.4185139834880829, -0.6963548064231873, 0.13727784156799316, 0.4590005874633789, -0.8771872520446777, -0.8789560794830322, -0.3768276274204254, 0.5492662787437439, 0.036329373717308044, -1.090787410736084, -0.2533321678638458, -0.43058812618255615, -1.4899576902389526, -0.43626341223716736, 0.3272550702095032, 0.5621270537376404, 0.528031587600708, 0.6891064047813416, -0.352429062128067, -0.439925879240036, 0.23455815017223358, -0.52086341381073, -0.4835224151611328, -0.2227751463651657, -0.46081045269966125, -0.4314900040626526, -0.3209567368030548, 0.30709269642829895, 0.7551886439323425, 0.09560403227806091, 0.6648160219192505, 0.6845448017120361, 0.0918685719370842, 0.1715964525938034, -1.1370179653167725, 0.8531471490859985, 1.213757038116455, -0.018724508583545685, -0.6519148349761963, -0.5013903379440308, -0.14113694429397583, -0.5422979593276978, 0.4984365999698639, -0.029246190562844276, 0.0525767020881176, -0.44345593452453613, 0.400283545255661, -0.7968525886535645, -0.42908957600593567, 0.07182491570711136, 0.9032551646232605, -0.541411280632019, 0.6837469935417175, -0.4645783007144928, 0.16663004457950592, 0.4485699236392975, -0.4212571978569031, 1.1719011068344116, 0.9348676800727844, 0.4213511347770691, -1.0114678144454956, 0.23661722242832184, -0.9307101368904114, 0.5215468406677246, 0.11379945278167725, 0.08139349520206451, 0.45996588468551636, 0.13931339979171753, -0.6532679200172424]
6	[0.36408287286758423, -0.37212511897087097, 0.08370969444513321, -0.8001576662063599, 0.5375069975852966, 0.3784147799015045, -0.1237775906920433, -0.4224037826061249, -0.8650620579719543, -0.09322512894868851, 0.615264892578125, 0.7426525354385376, 0.37846702337265015, -0.49808821082115173, 0.7791710495948792, 0.34278368949890137, 0.38725125789642334, 1.0355335474014282, -0.8978458642959595, 0.5328013300895691, 0.8836709260940552, -0.24523499608039856, -0.6923401951789856, 0.596747636795044, 0.004274054430425167, 0.24965544044971466, -0.7544674277305603, 0.5536617636680603, -0.5575776696205139, 0.15949422121047974, -0.4967327117919922, -0.11521632969379425, 0.7201986908912659, 0.38313359022140503, -0.47809964418411255, 0.08353272825479507, -1.3001224994659424, -0.15151555836200714, 0.061825625598430634, -0.5301567316055298, -1.4821983575820923, -0.42368102073669434, 1.0290106534957886, -0.9888661503791809, 0.7097142338752747, 0.6934357285499573, -0.2554474174976349, -0.22003167867660522, 0.5892165303230286, -0.6989169120788574, 0.7771667242050171, -0.9924760460853577, 0.30320635437965393, 0.19798044860363007, 0.20436765253543854, 0.6428580284118652, -0.4593706727027893, -0.59348064661026, 1.004036784172058, 0.7193732857704163, 0.3170291781425476, 0.4769258499145508, 0.599064290523529, 0.5701952576637268, -0.4289807975292206, -0.5487331748008728, -0.6128988265991211, 0.6206812262535095, 0.3735561966896057, 0.6908488273620605, 0.30812868475914, 0.44227099418640137, 0.3998280167579651, -0.10287181288003922, 0.6399802565574646, 1.7147094011306763, 0.4860127866268158, 0.6147584319114685, -0.07178980857133865, -0.33633071184158325, 0.3877716064453125, 0.5738258957862854, -0.44745969772338867, 0.6017987728118896, 0.4654535949230194, -0.5502294898033142, 0.7079102993011475, 0.17803806066513062, 0.40892431139945984, 0.9982869625091553, 0.6491723656654358, -0.4464302957057953, -1.2235246896743774, -0.48422425985336304, -0.10526515543460846, -0.1951695829629898, 0.1697015017271042, -0.6455563902854919, 0.7676518559455872, 0.7670207619667053]
7	[0.05530250817537308, -0.7528728246688843, -0.158107191324234, -1.1362072229385376, 0.61575847864151, -0.23819600045681, -0.7048888206481934, -0.6237630248069763, -0.133706197142601, -0.417068749666214, -0.4444420039653778, 0.6182025671005249, 1.0075403451919556, -0.7661218643188477, 0.577822744846344, 0.744555652141571, -0.41343605518341064, 0.27448704838752747, 0.217652827501297, 0.6097845435142517, -0.3705480396747589, -0.7990311980247498, 1.2966179847717285, 0.21808600425720215, 0.05420834198594093, -0.08283747732639313, -0.7560539841651917, -0.3437071442604065, -0.7472281455993652, -1.0061285495758057, 0.6298300623893738, -0.9493056535720825, -0.6972774863243103, -0.7686408758163452, -0.36348268389701843, 0.7996417284011841, -0.7501625418663025, -1.382826805114746, -0.5320029258728027, 0.4046079218387604, -1.5066920518875122, -0.4063917398452759, 1.1004993915557861, -1.7070447206497192, 1.1608054637908936, -0.6773948073387146, -0.11518803983926773, 1.3235899209976196, 0.8731603026390076, 0.3400987982749939, 0.9166978597640991, 0.43844136595726013, -1.1598221063613892, -0.7027286887168884, 0.2140519618988037, 0.8512077331542969, 0.522791862487793, 0.08929597586393356, 0.5732908844947815, 1.2544082403182983, -0.8838141560554504, 0.5310730934143066, 1.1228382587432861, -0.050015516579151154, 0.6135316491127014, -1.4574344158172607, 0.9114617705345154, -0.33018288016319275, 0.4131968319416046, -0.008278369903564453, 0.07103095948696136, -0.48276641964912415, -0.5893636345863342, -0.3502327501773834, 0.815449595451355, 1.243792176246643, -0.6481743454933167, 0.5296141505241394, 0.43824928998947144, 0.9151868224143982, -0.114637590944767, 0.5191706418991089, 0.8153755068778992, -0.7331981658935547, -0.7727752327919006, -0.6793248653411865, 0.4637271761894226, -0.6421055197715759, 1.172179937362671, -0.05627548694610596, 0.9611151218414307, 0.3799881339073181, 0.02902362123131752, 0.6629572510719299, -1.18165123462677, 0.5870519876480103, 0.8497214317321777, 0.07777717709541321, 0.04331406578421593, -0.299001544713974]
8	[0.20023700594902039, -0.48403725028038025, -0.4158203899860382, 0.42861366271972656, 0.47606852650642395, -0.33355140686035156, -0.15441063046455383, -0.6313856244087219, -0.7157747745513916, -0.2870768904685974, 0.3184329569339752, -0.4361301362514496, 0.37311604619026184, -0.6870999336242676, 0.6576583981513977, -0.7030633091926575, -0.6643680930137634, -0.827792227268219, -1.2696378231048584, -0.3292215168476105, 0.5649949312210083, 0.5982103943824768, -0.429925799369812, 1.0362334251403809, 1.680036187171936, -0.35603591799736023, -0.6616252660751343, -0.6147047877311707, -0.2459106147289276, 0.3964036703109741, 0.4546768367290497, 0.4678092300891876, 0.3978903889656067, 0.10525339841842651, 0.5304499268531799, -0.689055323600769, -1.0568466186523438, -0.15805348753929138, -0.6888839602470398, 0.31386327743530273, -0.5850573778152466, 0.29986998438835144, 0.8934085965156555, -1.5787562131881714, 0.7184369564056396, 0.3825729489326477, -0.5181418657302856, -0.6470220685005188, 0.6607807874679565, -0.8164669871330261, 0.4086848795413971, -0.5875729918479919, -0.08081040531396866, 0.10280861705541611, 0.27233025431632996, -0.044195473194122314, 0.8280192613601685, -0.3741244375705719, 0.779735267162323, 0.42097535729408264, -0.5446518659591675, -0.3895273506641388, 0.43458518385887146, -0.33220553398132324, 0.4026924669742584, 0.29471224546432495, -0.7788112163543701, 1.0427972078323364, 0.4239002466201782, -0.7162851095199585, 0.4351937174797058, 0.22705313563346863, -0.5603392720222473, 0.1949893832206726, 0.7868179678916931, 1.4409327507019043, 0.09574490785598755, 0.49029380083084106, -0.6938319802284241, 0.26854249835014343, 0.9012246131896973, -0.3713969886302948, -0.7100295424461365, -0.6494903564453125, -0.4267413318157196, -0.5774160027503967, -0.0488562248647213, 0.1733977049589157, -0.18242034316062927, -1.10149085521698, -0.26812076568603516, -0.30146095156669617, 0.5718013048171997, -0.8624502420425415, -1.4145755767822266, -0.18603156507015228, -0.24177008867263794, 0.5348204970359802, 0.6253141760826111, -0.6546769142150879]
9	[-0.38176098465919495, 0.3389533758163452, -0.44377121329307556, -0.08389250189065933, -0.09848611801862717, -1.0148029327392578, -0.09748751670122147, 0.2939389944076538, -0.43027573823928833, 0.8530282378196716, -0.0765056386590004, -0.6137422919273376, 0.5761476755142212, 0.9770060181617737, -0.23388706147670746, 0.5005635023117065, -0.5134063959121704, 0.4948531687259674, -1.3310325145721436, -0.6956844329833984, -0.2628776729106903, 0.0811273455619812, 0.5210624933242798, 0.6106135249137878, 0.10547879338264465, -0.3642149269580841, 0.4598066210746765, -0.3471110463142395, -1.1182740926742554, 0.28577885031700134, 0.5262563824653625, -0.08839958906173706, -0.09304523468017578, 0.4140132963657379, -0.06017286702990532, -0.4631476104259491, -1.5128711462020874, -0.7095034122467041, 0.3332359492778778, 0.47473829984664917, -0.882162868976593, 0.1298052817583084, -0.5718336701393127, 0.003590524895116687, -0.46883493661880493, 0.08565367758274078, 0.4475964605808258, 0.6144428253173828, -0.4050973653793335, -0.04457101225852966, -0.16351492702960968, -0.32645371556282043, 0.4147981107234955, 0.1651732325553894, 0.3243544101715088, 0.004282135982066393, -0.6428133249282837, -0.6050819754600525, 0.4839574098587036, -0.19511491060256958, -0.41226527094841003, 0.4033031165599823, 0.5256253480911255, 0.3463623821735382, 0.25587281584739685, 0.9514521360397339, 0.7217270731925964, 0.22577661275863647, -0.42268338799476624, -0.7494246959686279, -0.03661589324474335, 0.33289358019828796, -0.6666436195373535, -0.2156054675579071, -0.13193954527378082, -0.9835996627807617, 0.28519392013549805, -0.16495630145072937, 0.37960976362228394, -0.5087870955467224, 0.07596209645271301, 0.013127652928233147, 0.30664190649986267, 0.5455459952354431, 0.2948806881904602, -0.27308911085128784, -0.5669581890106201, 0.7635265588760376, -1.0187797546386719, 0.17541030049324036, -0.2576946020126343, -0.035580363124608994, 0.3977808654308319, -0.14917178452014923, -0.2940545678138733, 0.4211724102497101, 0.5678464770317078, 0.1955457180738449, -0.40060606598854065, 0.6553733944892883]
