0	[-0.10198566080347828,-0.0650081486029443,0.1645560574589864,0.08719347738555411,0.044031901705590334,-0.05112012876533809,-0.1467018448550567,-0.10233882622818631,-0.08967710957866887,0.10560958938152122,-0.025604735733218083,-0.2001330462282697,0.2004569287831545,0.13447959037105198,-0.0009064470229929114,-0.15978814272354736,-0.11733007745318265,0.049370385002361454,0.05065277027152025,0.13721094302750148,0.15082396397730685,0.1055198657154718,0.1554005435149465,0.12379077741007084,0.09606630481820247,-0.14821727249205488,0.19484087842316491,-0.04217377294403222,-0.20149892121661406,-0.19864987403088863,-0.03156519297556054,-0.17376734396659105,0.15366453316900555,-0.1367335441622128,0.1775826175399348,0.20685187247141143,0.0011888133368962012,-0.20375543203992438,-0.18409600281823074,-0.012924081348100138,-0.04132214145706867,0.08656867670026347,0.07892304784148106,-0.10996187001415653,0.1133459001013273,0.08878840135702314,-0.01577001121849477,-0.20687584105319942,0.0998796232508554,-0.1357631710920046,0.001429878464813181,-0.1429660551759451,0.010170052221787747,0.16713515854938715,-0.09713759970164167,0.1797379770694121,0.031935487335705545,0.10335981693130952,0.09357104345909871,0.13264663148048395,-0.02485015599734689,0.05961253957581567,0.18144655010412195,0.0032817965541661743]
1	[0.0847729030125601,-0.17825266259016098,0.17487852860062547,-0.1384296473725268,-0.1857678118306005,-0.11597424309862106,-0.06998936963327196,0.11236972816908168,-0.051390481315976816,0.14403831699412814,0.15398608809941658,0.018255427728523274,0.09364570142086073,0.18200319467338985,0.0758759633574631,0.18306931736454093,0.1552364051957715,0.07656829175972292,0.08827506248200326,-0.15324749629353754,-0.06196880372524953,-0.1810404655534176,0.007385684204421411,-0.15109086297233126,-0.027793747744158746,-0.05486860809898867,0.1782150692260429,-0.046383615671783784,0.14407497959397,0.1828184744909908,-0.192552689504413,-0.10143335157963594,-0.008896045999720823,0.13673784052953222,0.08044769281104977,0.14237774693680924,-0.12384019186881524,0.07275379850975948,-0.0006652807592835118,0.14133905260935456,-0.16541152884487223,-0.12981310207382646,0.002398771419257451,0.11863458712505782,0.19161292812353867,0.1500003543975562,0.14688830290888022,0.1532121443578683,-0.0554651247317491,0.0319786996808188,-0.06838113099693387,-0.15488406389688333,0.10646979098124261,-0.036700728098492105,0.10857521480287424,-0.16143282742521423,0.04397004938422059,-0.09717535429719455,-0.15198551152768494,-0.15580541005366358,-0.16098439266815892,0.1666991356042984,-0.05014756947276042,-0.1013960822958619]
2	[-0.20252950672015743,-0.05385071782760839,-0.0984843475155469,-0.01786892732270736,0.031123006426056206,-0.09306377530203021,-0.09490301990188088,-0.18946236914740555,-0.013358852687146311,0.011222025055670996,-0.19057607679462105,0.08088263215061782,0.022900375989884703,0.1086250669829276,-0.10902697155809057,-0.022951234511993965,0.16928171895035696,0.0024258952315957356,0.03621137840429943,-0.20960052008722813,-0.03754730221366529,0.08336033096881625,0.1194909945668034,0.036106976477046415,0.16920392837805506,0.0523846760642352,-0.03866192498239491,0.21998777734608302,-0.166804237872594,-0.1085558785574522,0.1530353290891233,-0.2073720736366597,0.09696530893094957,0.08380846125588523,-0.09983289310797754,0.22563724910130403,-0.012310355567814686,-0.031316688218281034,-0.06760908893283953,-0.16676211446179517,-0.1864373519896469,0.2104549546828916,-0.018274949610760278,0.1834547129723398,0.10687481302667819,-0.1774457020095147,-0.05003205164362082,0.07447277649278161,0.008029657469128183,-0.22156619604769806,0.17350077970056113,-0.12804043724330327,0.04550991599547987,0.15054361199137065,-0.1676474038072195,-0.0029788914111898318,0.06867276392134988,-0.20002616628886952,0.12202971583164574,0.08958666836617367,0.05118587407122736,-0.05183642578707558,0.1781622627361779,-0.1023570631447986]
3	[-0.10198566080347828,-0.0650081486029443,0.1645560574589864,0.08719347738555411,0.044031901705590334,-0.05112012876533809,-0.1467018448550567,-0.10233882622818631,-0.08967710957866887,0.10560958938152122,-0.025604735733218083,-0.2001330462282697,0.2004569287831545,0.13447959037105198,-0.0009064470229929114,-0.15978814272354736,-0.11733007745318265,0.049370385002361454,0.05065277027152025,0.13721094302750148,0.15082396397730685,0.1055198657154718,0.1554005435149465,0.12379077741007084,0.09606630481820247,-0.14821727249205488,0.19484087842316491,-0.04217377294403222,-0.20149892121661406,-0.19864987403088863,-0.03156519297556054,-0.17376734396659105,0.15366453316900555,-0.1367335441622128,0.1775826175399348,0.20685187247141143,0.0011888133368962012,-0.20375543203992438,-0.18409600281823074,-0.012924081348100138,-0.04132214145706867,0.08656867670026347,0.07892304784148106,-0.10996187001415653,0.1133459001013273,0.08878840135702314,-0.01577001121849477,-0.20687584105319942,0.0998796232508554,-0.1357631710920046,0.001429878464813181,-0.1429660551759451,0.010170052221787747,0.16713515854938715,-0.09713759970164167,0.1797379770694121,0.031935487335705545,0.10335981693130952,0.09357104345909871,0.13264663148048395,-0.02485015599734689,0.05961253957581567,0.18144655010412195,0.0032817965541661743]
4	[-0.20252950672015743,-0.05385071782760839,-0.0984843475155469,-0.01786892732270736,0.031123006426056206,-0.09306377530203021,-0.09490301990188088,-0.18946236914740555,-0.013358852687146311,0.011222025055670996,-0.19057607679462105,0.08088263215061782,0.022900375989884703,0.1086250669829276,-0.10902697155809057,-0.022951234511993965,0.16928171895035696,0.0024258952315957356,0.03621137840429943,-0.20960052008722813,-0.03754730221366529,0.08336033096881625,0.1194909945668034,0.036106976477046415,0.16920392837805506,0.0523846760642352,-0.03866192498239491,0.21998777734608302,-0.166804237872594,-0.1085558785574522,0.1530353290891233,-0.2073720736366597,0.09696530893094957,0.08380846125588523,-0.09983289310797754,0.22563724910130403,-0.012310355567814686,-0.031316688218281034,-0.06760908893283953,-0.16676211446179517,-0.1864373519896469,0.2104549546828916,-0.018274949610760278,0.1834547129723398,0.10687481302667819,-0.1774457020095147,-0.05003205164362082,0.07447277649278161,0.008029657469128183,-0.22156619604769806,0.17350077970056113,-0.12804043724330327,0.04550991599547987,0.15054361199137065,-0.1676474038072195,-0.0029788914111898318,0.06867276392134988,-0.20002616628886952,0.12202971583164574,0.08958666836617367,0.05118587407122736,-0.05183642578707558,0.1781622627361779,-0.1023570631447986]
5	[0.07511935562585159,0.22174827204694045,0.045433512098843575,0.20069122149638133,0.07181410804138735,-0.21213824698175274,-0.07590107889428432,0.045654864988164796,-0.1617635442560793,-0.050126243642082055,0.08409230202279101,0.08192217052320797,0.09779112313482792,-0.16743637620308277,-0.09775514195115119,0.017062995158980104,0.04521337084145594,0.031067896753541917,-0.17147120065111243,0.1294845229837165,-0.20917025689573185,0.23810688318384154,-0.07115189155169824,0.13897026099808235,-0.047155766520051975,0.18114228653086342,0.12084144469447829,0.176508324265951,-0.23333151878167657,-0.003671508082175707,-0.05638753466739023,-0.04670269497558263,0.06252637691231606,-0.20644069893817515,-0.027081645744899477,0.1347729022463434,0.2122417071270488,-0.09468401827659546,-0.22296474199236213,0.08452998715851183,-0.07964419669921548,0.09802690080165484,0.0023929092938779254,0.06361656646494618,-0.05888616910677463,-0.0060578434249450195,0.22211938135093875,-0.09411229240896703,0.052933393724037624,0.21559553744934978,0.16197031248961727,0.05562547871656919,0.1889954325831175,0.16031573720721173,0.04936785990756749,0.06511020991284543,0.004364134052911592,0.13013487838055596,0.0600864719213234,-0.09489913949397273,-0.050514164996483556,-0.0005331130236737982,-0.0343595630784755,-0.04803989018313631]
6	[0.1061758403047781,0.16490534521705139,0.03931279167830505,-0.05982728434331582,-0.18146808771885872,0.10524622285422318,0.19631872843565754,0.15050842080562588,0.008032639781135501,-0.1150954493245859,0.06509944529140291,0.0811240553501382,-0.15221338877949617,0.07332752830923098,-0.11051426238450661,0.07246880247378601,-0.17482172558539164,0.056271521702473536,-0.13251496865071466,0.2012594608159507,0.14600237003510907,-0.14027817159034695,0.03457899757205233,-0.1369647511911992,0.20498947668012762,-0.14649483307775285,0.10205370075714644,-0.035946155267402156,0.20557975047466065,-0.041859388961163466,-0.12056585472436013,0.18820798180997192,0.006290004672862009,-0.08349966233846363,0.02565442174163522,0.1389126730338792,0.1241770553753447,0.13885828953855142,0.17865399337401053,-0.2017473707390366,-0.0044423937992561745,-0.17591637284403108,-0.0037836094010926993,-0.12403021213981444,-0.054787524527177146,0.03260440709719451,0.11638113302011936,0.11968658818233623,-0.07516107512083149,-0.15331286475387232,-0.17435321532572262,-0.08736924679602438,-0.20738876641225734,0.19365650834310388,-0.10851644813973023,-0.05907394484991708,0.05462895494747779,-0.0022228279117343756,-0.09993596761668784,-0.13277573749075486,0.02615533877651408,-0.09735266816340507,-0.03775762406881735,0.2035067449049851]
7	[0.1061758403047781,0.16490534521705139,0.03931279167830505,-0.05982728434331582,-0.18146808771885872,0.10524622285422318,0.19631872843565754,0.15050842080562588,0.008032639781135501,-0.1150954493245859,0.06509944529140291,0.0811240553501382,-0.15221338877949617,0.07332752830923098,-0.11051426238450661,0.07246880247378601,-0.17482172558539164,0.056271521702473536,-0.13251496865071466,0.2012594608159507,0.14600237003510907,-0.14027817159034695,0.03457899757205233,-0.1369647511911992,0.20498947668012762,-0.14649483307775285,0.10205370075714644,-0.035946155267402156,0.20557975047466065,-0.041859388961163466,-0.12056585472436013,0.18820798180997192,0.006290004672862009,-0.08349966233846363,0.02565442174163522,0.1389126730338792,0.1241770553753447,0.13885828953855142,0.17865399337401053,-0.2017473707390366,-0.0044423937992561745,-0.17591637284403108,-0.0037836094010926993,-0.12403021213981444,-0.054787524527177146,0.03260440709719451,0.11638113302011936,0.11968658818233623,-0.07516107512083149,-0.15331286475387232,-0.17435321532572262,-0.08736924679602438,-0.20738876641225734,0.19365650834310388,-0.10851644813973023,-0.05907394484991708,0.05462895494747779,-0.0022228279117343756,-0.09993596761668784,-0.13277573749075486,0.02615533877651408,-0.09735266816340507,-0.03775762406881735,0.2035067449049851]
8	[0.0847729030125601,-0.17825266259016098,0.17487852860062547,-0.1384296473725268,-0.1857678118306005,-0.11597424309862106,-0.06998936963327196,0.11236972816908168,-0.051390481315976816,0.14403831699412814,0.15398608809941658,0.018255427728523274,0.09364570142086073,0.18200319467338985,0.0758759633574631,0.18306931736454093,0.1552364051957715,0.07656829175972292,0.08827506248200326,-0.15324749629353754,-0.06196880372524953,-0.1810404655534176,0.007385684204421411,-0.15109086297233126,-0.027793747744158746,-0.05486860809898867,0.1782150692260429,-0.046383615671783784,0.14407497959397,0.1828184744909908,-0.192552689504413,-0.10143335157963594,-0.008896045999720823,0.13673784052953222,0.08044769281104977,0.14237774693680924,-0.12384019186881524,0.07275379850975948,-0.0006652807592835118,0.14133905260935456,-0.16541152884487223,-0.12981310207382646,0.002398771419257451,0.11863458712505782,0.19161292812353867,0.1500003543975562,0.14688830290888022,0.1532121443578683,-0.0554651247317491,0.0319786996808188,-0.06838113099693387,-0.15488406389688333,0.10646979098124261,-0.036700728098492105,0.10857521480287424,-0.16143282742521423,0.04397004938422059,-0.09717535429719455,-0.15198551152768494,-0.15580541005366358,-0.16098439266815892,0.1666991356042984,-0.05014756947276042,-0.1013960822958619]
9	[-0.10198566080347828,-0.0650081486029443,0.1645560574589864,0.08719347738555411,0.044031901705590334,-0.05112012876533809,-0.1467018448550567,-0.10233882622818631,-0.08967710957866887,0.10560958938152122,-0.025604735733218083,-0.2001330462282697,0.2004569287831545,0.13447959037105198,-0.0009064470229929114,-0.15978814272354736,-0.11733007745318265,0.049370385002361454,0.05065277027152025,0.13721094302750148,0.15082396397730685,0.1055198657154718,0.1554005435149465,0.12379077741007084,0.09606630481820247,-0.14821727249205488,0.19484087842316491,-0.04217377294403222,-0.20149892121661406,-0.19864987403088863,-0.03156519297556054,-0.17376734396659105,0.15366453316900555,-0.1367335441622128,0.1775826175399348,0.20685187247141143,0.0011888133368962012,-0.20375543203992438,-0.18409600281823074,-0.012924081348100138,-0.04132214145706867,0.08656867670026347,0.07892304784148106,-0.10996187001415653,0.1133459001013273,0.08878840135702314,-0.01577001121849477,-0.20687584105319942,0.0998796232508554,-0.1357631710920046,0.001429878464813181,-0.1429660551759451,0.010170052221787747,0.16713515854938715,-0.09713759970164167,0.1797379770694121,0.031935487335705545,0.10335981693130952,0.09357104345909871,0.13264663148048395,-0.02485015599734689,0.05961253957581567,0.18144655010412195,0.0032817965541661743]
